Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,20,20,20,20,20,20,20,24,24,24,24,24,24
Reserves,219,242,289,304,327,363,525,568,571,574,607,678,710
Borrowings,358,410,341,292,307,249,232,188,78,49,71,62,69
  └─ Long term Borrowings,262.38,240.34,169.57,167.47,155.88,120.29,98.57,47.45,16.09,17.26,34.35,30.90,23.19
  └─ Short term Borrowings,35.22,70.33,65.38,42.36,67.60,60.65,74.17,88.88,33.18,27.36,32.64,26.81,40.79
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,3.89,4.00,4.05,5.04
  └─ Other Borrowings,59.91,99.28,106.51,82.24,83.87,68.35,59.55,52.05,24.69,0.00,0.00,0.00,
Other Liabilities,357,376,389,398,397,248,274,302,217,286,297,315,374
  └─ Non controlling int,51,61,79,99,112,16,21,24,26,26,29,31,30
  └─ Trade Payables,203,193,195,193,194,167,182,208,144,204,198,220,271
  └─ Advance from Customers,3,3,3,2,1,5,0,1,1,4,2,2,
  └─ Other liability items,100,118,112,105,91,60,72,69,46,52,68,62,72
Total Liabilities,953,1048,1039,1013,1052,880,1051,1083,890,933,1000,1080,1177
Fixed Assets,546,609,602,584,600,477,549,533,487,425,399,481,499
  └─ Land,34.40,34.41,34.41,34.41,50.33,50.63,61.06,62.74,63.81,63.81,62.74,62.52,
  └─ Building,126.44,154.57,162.11,176.52,206.47,163.93,189.18,193.82,200.30,200.64,186.52,193.32,
  └─ Plant Machinery,503.02,577.22,614.08,672.30,708.98,257.65,370.53,398.63,414.77,421.13,455.70,569.34,
  └─ Equipments,34.59,39.30,42.59,44.24,46.65,11.61,19.87,28.44,34.78,35.75,40.43,43.55,
  └─ Furniture n fittings,39.05,41.84,42.68,45.67,48.18,16.32,22.21,26.63,27.43,27.53,28.48,33.09,
  └─ Vehicles,4.50,5.76,6.05,7.45,6.26,7.16,4.12,5.37,7.95,8.74,8.12,9.24,
  └─ Intangible Assets,7.21,13.19,17.01,62.66,79.82,41.30,69.90,83.77,89.19,62.61,57.20,50.11,23.48
  └─ Other fixed assets,32.03,36.15,41.07,12.58,15.41,6.08,10.74,21.90,27.14,25.95,40.33,42.05,
  └─ Gross Block,781.24,902.44,960.00,1055.83,1162.10,554.68,747.61,821.30,865.37,846.16,879.52,1003.22,
  └─ Accumulated Depreciation,234.84,293.01,358.21,471.67,562.47,78.15,198.32,288.57,378.57,421.42,480.71,522.67,
CWIP,46,32,75,63,40,23,25,10,3,10,97,25,42
Investments,30,30,1,1,1,103,-0,-0,-0,-0,-0,-0,-0
Other Assets,331,377,361,365,411,278,476,541,401,498,505,574,636
  └─ Inventories,61,81,94,100,99,84,104,112,115,131,146,193,195
  └─ Trade receivables,175,227,208,189,215,155,258,268,194,256,242,281,334
  └─ Cash Equivalents,12,3,3,18,36,3,84,124,62,75,80,57,49
  └─ Loans n Advances,7,8,14,7,5,6,7,9,7,8,8,12,4
  └─ Other asset items,76,57,42,50,56,31,24,27,23,27,28,32,55
Total Assets,953,1048,1039,1013,1052,880,1051,1083,890,933,1000,1080,1177
