Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.32,0.32,0.32,37,43
Reserves,7,22,73,272,804
Borrowings,52,65,61,115,255
  └─ Long term Borrowings,10,17,16,64,65
  └─ Short term Borrowings,42,48,45,50,191
  └─ Other Borrowings,0,0,-0,0,
Other Liabilities,8,34,20,174,585
  └─ Trade Payables,3,11,12,62,445
  └─ Advance from Customers,4,21,0,0,
  └─ Other liability items,1,2,8,112,140
Total Liabilities,67,120,155,598,1688
Fixed Assets,0,1,2,37,151
  └─ Land,0.00,0.00,0.00,34.26,
  └─ Plant Machinery,0.00,0.36,0.42,0.57,
  └─ Equipments,0.01,0.05,0.05,0.20,
  └─ Computers,0.15,0.23,0.31,1.05,
  └─ Furniture n fittings,0.13,0.25,0.27,1.43,
  └─ Vehicles,0.82,1.20,1.16,1.38,
  └─ Intangible Assets,0.00,0.00,0.60,0.02,0.02
  └─ Other fixed assets,0.01,0.00,0.00,0.00,
  └─ Gross Block,1.12,2.09,2.81,38.91,
  └─ Accumulated Depreciation,0.69,0.92,1.28,1.51,
CWIP,-0,-0,-0,88,43
Investments,6,7,9,7,-0
Other Assets,61,112,145,465,1494
  └─ Inventories,2,2,2,2,106
  └─ Trade receivables,11,51,30,144,348
    └─ Receivables over 6m,0,8,0,23,
    └─ Receivables under 6m,10,43,30,136,
    └─ Prov for Doubtful,0,0,0,-14,
  └─ Cash Equivalents,12,18,40,127,572
  └─ Loans n Advances,34,31,1,51,38
  └─ Other asset items,3,11,70,141,431
Total Assets,67,120,155,598,1688
