Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59
Reserves,27.21,-8.01,-43.14,-116.99,-151.60,-186.84,-223.41,-242.47,-252.51,-225.54,-231.61,-221.52,-222.85
Borrowings,97.76,143.40,356.66,351.61,168.55,59.92,48.95,47.40,0.00,0.00,2.00,2.00,2.33
  └─ Long term Borrowings,,101.13,297.30,134.63,29.39,15.86,9.48,3.11,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,,42.27,42.85,41.33,38.03,37.02,37.43,37.43,0.00,0.00,2.00,2.00,2.00
  └─ Lease Liabilities,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
  └─ Other Borrowings,97.76,0.00,16.51,175.65,101.13,7.04,2.04,6.86,0.00,0.00,0.00,0.00,
Other Liabilities,140.42,209.89,227.84,278.49,404.70,456.77,455.75,488.10,502.04,401.60,386.37,350.54,351.63
  └─ Trade Payables,8,19,13,21,25,27,29,31,31,30,6,6,6
  └─ Advance from Customers,-0,-0,4,4,3,23,176,4,5,209,277,252,
  └─ Other liability items,133,191,211,254,376,407,251,452,466,162,104,93,346
Total Liabilities,282.98,362.87,558.95,530.70,439.24,347.44,298.88,310.62,267.12,193.65,174.35,148.61,148.70
Fixed Assets,26.60,25.04,26.97,26.09,25.06,19.71,18.93,18.07,15.78,15.15,8.38,7.93,7.38
  └─ Land,22.38,21.33,24.59,0.00,24.94,24.94,24.94,17.17,15.48,15.47,9.14,9.14,
  └─ Building,0.00,0.00,0.00,24.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,69.59,68.56,67.57,67.71,85.42,85.51,85.74,1.71,1.84,1.84,1.84,1.84,
  └─ Equipments,5.05,4.85,4.87,4.92,3.70,3.70,3.70,0.01,0.01,0.01,0.01,0.01,
  └─ Computers,0.00,0.00,0.00,0.00,0.99,1.01,1.03,0.04,0.05,0.06,0.06,0.07,
  └─ Furniture n fittings,1.03,1.04,1.04,1.04,1.04,1.04,1.04,0.00,0.00,0.00,0.00,0.00,
  └─ Vehicles,1.29,1.10,0.72,0.66,0.59,0.59,0.59,0.02,0.02,0.02,0.02,0.02,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,0.31,0.31,
  └─ Gross Block,99.34,96.88,98.79,99.17,116.68,116.78,117.03,18.94,17.39,17.39,11.38,11.39,
  └─ Accumulated Depreciation,72.74,71.84,71.82,73.08,91.62,97.07,98.11,0.87,1.61,2.24,2.99,3.46,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.32,0.00,0.00,0.00
Investments,6.29,6.29,6.29,6.29,6.29,6.29,6.29,12.12,11.72,11.38,2.26,1.19,1.70
Other Assets,250.09,331.54,525.69,498.32,407.89,321.44,273.66,280.43,239.42,166.80,163.71,139.49,139.62
  └─ Inventories,100,101,78,83,81,77,66,64,30,27,24,11,10
  └─ Trade receivables,10,17,14,10,10,7,9,9,10,8,3,0,1
  └─ Cash Equivalents,6,5,10,3,5,2,2,2,7,2,3,3,4
  └─ Loans n Advances,9,5,5,2,0,0,0,1,1,1,1,1,1
  └─ Other asset items,124,204,418,401,313,235,197,205,192,129,133,124,124
Total Assets,282.98,362.87,558.95,530.70,439.24,347.44,298.88,310.62,267.12,193.65,174.35,148.61,148.70
