Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,396,396,316,316,306,306,293,293,293,293,879,879,
Reserves,31870,28784,22266,24101,25738,27367,29591,17725,22328,25363,28817,33183,
Borrowings,0,1497,0,500,364,566,2000,1800,2128,3359,4276,6407,
  └─ Long term Borrowings,0,0,0,0,0,0,524,0,0,0,0,0,
  └─ Short term Borrowings,0,1497,0,500,364,566,1471,1792,2121,3357,3770,5874,
  └─ Lease Liabilities,0,0,0,0,0,0,6,7,7,2,505,533,
Other Liabilities,2197,2079,3201,3774,3483,3056,5045,5094,5204,6646,7035,7851,
  └─ Non controlling int,51,17,15,15,14,8,14,13,14,17,11,14,
  └─ Trade Payables,226,325,199,160,203,226,361,665,426,413,321,406,
  └─ Advance from Customers,110,116,103,101,0,0,0,0,0,0,0,,
  └─ Other liability items,1810,1621,2885,3498,3266,2822,4671,4416,4764,6217,6702,7431,
Total Liabilities,34464,32756,25784,28691,29891,31294,36930,24912,29953,35661,41007,48320,
Fixed Assets,1468,2058,2095,3457,3512,3810,3933,3662,3199,3377,5038,5856,
  └─ Land,261,279,279,919,920,922,921,833,227,232,1773,,
  └─ Building,480,402,473,677,715,863,1046,916,947,1013,1223,,
  └─ Plant Machinery,778,959,1035,1651,1807,1913,1325,1370,1391,1469,1526,,
  └─ Equipments,986,40,52,70,78,93,699,801,888,1019,1086,,
  └─ Furniture n fittings,129,118,165,286,298,318,327,292,332,355,385,,
  └─ Railway sidings,56,34,34,34,34,34,34,34,34,34,34,,
  └─ Vehicles,49,22,37,39,72,92,136,60,66,68,72,,
  └─ Intangible Assets,108,94,94,94,94,94,94,94,94,94,94,954,
  └─ Other fixed assets,249,364,380,387,456,945,1031,1112,1385,1078,1193,,
  └─ Gross Block,3095,2312,2550,4157,4474,5274,5613,5513,5364,5361,7386,,
  └─ Accumulated Depreciation,1627,254,455,700,962,1464,1680,1851,2165,1985,2347,,
CWIP,7801,9747,11855,12545,13819,15530,17158,1333,1998,3235,4737,6749,
Investments,319,592,612,673,859,910,875,895,940,956,978,1372,
Other Assets,24876,20359,11221,12016,11701,11045,14964,19022,23816,28094,30253,34344,
  └─ Inventories,692,622,540,572,666,724,922,2125,2661,2767,2638,2522,
  └─ Trade receivables,1752,796,1044,1473,1425,2224,2140,2954,4361,3509,7745,9206,
    └─ Receivables over 6m,938,1104,1237,1582,1876,2615,0,0,3314,2217,5762,,591
    └─ Receivables under 6m,829,808,1179,1600,1506,1771,4524,5886,2952,3198,3940,,871
    └─ Prov for Doubtful,-15,-1116,-1373,-1709,-1958,-2163,-2384,-2932,-1905,-1906,-1958,,-14
  └─ Cash Equivalents,18486,14806,5321,5461,4619,2437,5862,7977,7098,12364,10089,11387,
  └─ Loans n Advances,618,104,672,898,1047,1146,1330,1987,2353,1790,1834,378,
  └─ Other asset items,3327,4030,3644,3613,3944,4514,4710,3978,7344,7664,7948,10850,
Total Assets,34464,32756,25784,28691,29891,31294,36930,24912,29953,35661,41007,48320,
