Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
Reserves,6.11,5.92,6.12,6.14,4.41,4.16,3.97,3.40,3.02
Borrowings,0.55,0.54,0.65,0.63,0.58,0.54,0.54,0.54,0.44
  └─ Long term Borrowings,0.00,0.00,0.09,0.04,0.10,0.10,0.10,0.10,0.00
  └─ Short term Borrowings,0.11,0.10,0.08,0.10,0.00,0.00,0.00,0.00,0.00
  └─ Preference Capital,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
  └─ Other Borrowings,0.00,0.00,0.04,0.05,0.04,0.00,0.00,0.00,0.00
Other Liabilities,3.00,0.93,1.00,0.96,0.18,0.16,0.15,0.17,0.28
  └─ Non controlling int,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03
  └─ Trade Payables,0.81,0.40,0.44,0.33,0.00,0.01,0.00,0.01,0.26
  └─ Advance from Customers,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,2.14,0.47,0.49,0.58,0.15,0.12,0.12,0.13,-0.01
Total Liabilities,14.29,12.02,12.40,12.36,9.80,9.49,9.29,8.74,8.37
Fixed Assets,8.85,7.75,7.20,6.58,3.80,3.73,3.69,3.60,3.26
  └─ Land,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32
  └─ Plant Machinery,12.25,12.24,11.90,11.65,0.00,0.00,0.00,0.00,0.00
  └─ Equipments,1.86,1.93,1.93,1.93,1.93,1.93,1.93,0.00,0.00
  └─ Computers,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
  └─ Furniture n fittings,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.00,0.00
  └─ Vehicles,0.53,0.11,0.37,0.39,0.39,0.39,0.39,0.00,0.00
  └─ Intangible Assets,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.34,0.34,0.33,0.33,0.34,0.34,0.34,0.34,0.00
  └─ Gross Block,18.39,18.03,17.94,17.71,6.06,6.06,6.06,3.66,3.32
  └─ Accumulated Depreciation,9.53,10.27,10.74,11.13,2.26,2.33,2.37,0.06,0.06
CWIP,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,5.44,4.27,5.20,5.77,5.99,5.75,5.59,5.14,5.11
  └─ Inventories,1.35,1.77,0.93,0.59,0.00,0.00,0.00,0.00,0.00
  └─ Trade receivables,2.93,1.24,2.04,1.28,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,0.35,0.79,1.74,0.29,0.98,0.12,0.12,0.17,0.08
  └─ Loans n Advances,0.34,0.06,0.07,0.05,2.01,0.37,0.37,0.34,0.27
  └─ Other asset items,0.47,0.41,0.42,3.56,3.00,5.26,5.10,4.63,4.76
Total Assets,14.29,12.02,12.40,12.36,9.80,9.49,9.29,8.74,8.37
