Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Sep 2023
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,14,16,18,21,25,31,35,44,47,78,99,111
Borrowings,23,22,18,19,22,24,26,29,4,5,9,10
  └─ Long term Borrowings,8.24,9.67,8.39,7.22,5.98,6.10,6.13,6.11,2.25,1.15,2.90,4.84
  └─ Short term Borrowings,11.82,10.82,9.21,10.11,13.51,16.48,18.45,20.72,0.00,3.59,5.65,4.79
  └─ Other Borrowings,2.68,1.84,0.73,2.01,2.15,1.09,1.89,2.13,1.28,0.00,-0.01,
Other Liabilities,24,25,22,25,23,31,39,36,30,39,35,38
  └─ Trade Payables,13.43,14.78,10.48,13.66,12.10,15.87,22.72,22.23,18.38,24.05,18.90,21.29
  └─ Advance from Customers,2.42,2.09,2.67,3.45,3.03,6.11,5.53,4.05,4.72,9.08,10.19,
  └─ Other liability items,8.09,8.28,9.25,8.15,8.21,8.85,10.30,9.52,7.00,6.34,6.33,16.49
Total Liabilities,72,74,70,77,81,97,111,120,92,134,154,169
Fixed Assets,32,31,31,31,32,32,35,35,31,29,36,39
  └─ Land,0.30,0.30,0.33,0.34,0.36,0.35,0.10,0.10,0.10,0.10,0.10,
  └─ Building,6.10,6.11,4.32,4.32,7.02,9.38,7.12,7.14,8.29,8.44,8.53,
  └─ Plant Machinery,26.72,27.00,19.00,21.19,21.61,41.80,45.28,49.17,51.77,53.30,62.33,
  └─ Equipments,7.67,7.78,2.47,2.51,2.51,0.72,1.38,1.41,1.39,1.01,1.15,
  └─ Computers,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.61,0.63,0.00,0.00,0.00,1.58,2.18,1.91,1.43,0.95,1.00,
  └─ Vehicles,1.81,1.83,2.32,2.33,2.67,3.17,3.53,3.66,3.71,4.36,4.59,
  └─ Intangible Assets,5.12,5.92,5.96,6.27,6.64,6.49,6.51,6.92,0.00,0.00,0.00,0.00
  └─ Other fixed assets,-0.02,0.52,18.27,18.81,19.56,0.65,2.88,3.00,0.01,-0.01,0.00,
  └─ Gross Block,48.53,50.38,52.67,55.77,60.37,64.14,68.98,73.31,66.70,68.15,77.70,
  └─ Accumulated Depreciation,16.34,19.01,22.05,24.99,28.42,31.68,33.75,37.90,35.74,38.86,41.29,
CWIP,0,0,0,2,0,0,0,3,0,0,0,1
Investments,0,0,0,1,2,2,5,6,5,0,0,0
Other Assets,39,43,39,44,47,62,71,75,55,105,117,130
  └─ Inventories,14,16,16,14,15,19,30,27,20,31,28,29
  └─ Trade receivables,22,22,20,24,23,20,28,27,22,28,29,31
    └─ Receivables over 6m,2.92,2.17,3.59,3.23,3.93,0.00,0.00,0.00,0.00,0.84,2.50,
    └─ Receivables under 6m,18.72,19.69,15.99,21.08,19.08,19.92,27.52,26.99,22.44,27.34,26.37,
  └─ Cash Equivalents,1,3,2,2,6,15,11,19,11,42,57,66
  └─ Loans n Advances,1,0,0,0,0,1,0,1,0,1,1,2
  └─ Other asset items,2,2,1,2,2,7,2,2,1,3,2,2
Total Assets,72,74,70,77,81,97,111,120,92,134,154,169
