Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.10,0.10,0.10,15
Reserves,3,6,13,59
Borrowings,23,28,21,13
  └─ Short term Borrowings,22.74,28.17,21.33,13.15
  └─ Other Borrowings,0.00,-0.01,0.00,
Other Liabilities,8,13,12,12
  └─ Trade Payables,6.37,10.19,8.24,6.80
  └─ Advance from Customers,0.03,0.65,0.00,
  └─ Other liability items,1.45,1.93,3.78,5.61
Total Liabilities,34,47,46,99
Fixed Assets,0,0,0,0
  └─ Plant Machinery,0.07,0.07,0.07,
  └─ Equipments,0.00,0.02,0.03,
  └─ Computers,0.03,0.04,0.06,
  └─ Furniture n fittings,0.01,0.01,0.01,
  └─ Vehicles,0.24,0.24,0.24,
  └─ Other fixed assets,0.01,0.01,0.01,
  └─ Gross Block,0.36,0.39,0.42,
  └─ Accumulated Depreciation,0.24,0.28,0.32,
CWIP,0,0,0,0
Investments,14,14,0,0
Other Assets,20,33,46,99
  └─ Inventories,1.04,9.12,2.13,8.96
  └─ Trade receivables,4.75,5.87,20.98,27.18
  └─ Cash Equivalents,2.99,0.68,5.25,39.30
  └─ Loans n Advances,3.65,3.35,2.40,11.77
  └─ Other asset items,7.30,13.68,15.12,11.58
Total Assets,34,47,46,99
