Metric,Sep 2006,Dec 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Equity Capital,14.34,14.33,14.32,14.32,14.32,14.32,14.32
Reserves,-34.88,-9.52,-8.10,-8.06,-7.38,-6.49,-4.83
Borrowings,39.51,0.37,0.86,0.23,0.17,1.97,0.19
  └─ Long term Borrowings,,,0.00,0.00,0.17,0.18,0.19
  └─ Short term Borrowings,,,0.00,0.00,0.00,1.79,0.00
  └─ Other Borrowings,39.51,0.37,0.86,0.23,0.00,0.00,0.00
Other Liabilities,3.94,0.94,0.26,0.35,0.16,0.24,0.10
  └─ Trade Payables,0.00,0.33,0.08,0.11,0.00,0.00,0.00
  └─ Advance from Customers,0.60,0.58,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,3.34,0.03,0.18,0.24,0.16,0.24,0.10
Total Liabilities,22.91,6.12,7.34,6.84,7.27,10.04,9.78
Fixed Assets,13.37,0.12,0.08,0.00,0.00,0.00,0.00
  └─ Land,4.44,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Building,7.15,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Plant Machinery,3.40,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Furniture n fittings,2.40,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Vehicles,0.16,0.16,0.12,0.00,0.00,0.00,0.00
  └─ Intangible Assets,0.10,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Gross Block,17.65,0.16,0.12,0.00,0.00,0.00,0.00
  └─ Accumulated Depreciation,4.28,0.04,0.04,0.00,0.00,0.00,0.00
CWIP,8.96,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.04,0.05,2.67,1.17,1.92,0.57,0.04
Other Assets,0.54,5.95,4.59,5.67,5.35,9.47,9.74
  └─ Inventories,0.04,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade receivables,0.18,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,0.09,4.67,3.18,4.15,5.28,4.65,0.07
  └─ Loans n Advances,-2.19,0.10,0.13,0.12,0.06,1.00,0.06
  └─ Other asset items,2.42,1.18,1.28,1.40,0.01,3.82,9.61
Total Assets,22.91,6.12,7.34,6.84,7.27,10.04,9.78
