Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,647,647,647,647,647,647,647,647,647,647,647,647
Reserves,-1499,-1957,-2159,-2286,-2119,-1138,-827,15,627,711,724,728
Borrowings,1119,1856,2402,2278,2274,1821,1822,1838,1842,1810,1805,3837
  └─ Long term Borrowings,202,1668,1770,1770,1796,906,15,10,5,0,0,0
  └─ Short term Borrowings,792,183,632,507,478,25,1776,1795,1804,1776,1770,3802
  └─ Lease Liabilities,0,0,0,0,0,0,31,32,33,35,34,34
  └─ Other Borrowings,126,4,-0,0,0,890,0,0,0,0,0,
Other Liabilities,1451,1174,715,1215,1547,1316,1756,2276,2379,2682,2860,1466
  └─ Trade Payables,724,577,321,423,419,211,374,578,378,484,467,935
  └─ Advance from Customers,69,48,28,38,20,19,38,39,44,57,47,
  └─ Other liability items,658,549,367,754,1108,1086,1344,1658,1957,2141,2346,530
Total Liabilities,1718,1720,1605,1854,2348,2646,3399,4775,5494,5850,6036,6677
Fixed Assets,330,314,297,295,296,299,286,816,814,827,951,948
  └─ Land,18.55,18.55,17.45,17.07,17.07,15.96,15.96,495.52,495.59,534.02,534.02,
  └─ Building,90.14,90.38,16.70,16.70,17.32,21.38,23.81,23.84,23.84,24.00,23.82,
  └─ Plant Machinery,1373.64,1377.70,242.39,252.22,273.30,285.93,296.00,369.67,393.41,429.51,588.32,
  └─ Equipments,12.18,12.09,1.28,3.20,3.54,7.29,7.74,9.93,10.91,11.56,12.30,
  └─ Furniture n fittings,4.81,4.81,0.34,0.34,0.34,0.37,0.38,0.58,0.68,0.75,0.94,
  └─ Railway sidings,3.12,3.12,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,
  └─ Vehicles,4.17,4.17,0.66,0.78,0.78,1.49,3.75,3.78,3.72,3.64,4.04,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
  └─ Other fixed assets,20.05,19.71,42.80,43.23,44.92,46.43,44.20,45.63,46.17,10.36,10.66,
  └─ Gross Block,1526.66,1530.53,321.78,333.70,357.43,379.01,392.00,949.11,974.48,1014.00,1174.26,
  └─ Accumulated Depreciation,1196.72,1216.43,24.98,38.98,61.88,79.78,106.26,133.45,160.70,186.87,223.30,
CWIP,25,22,25,18,18,39,55,43,105,224,216,243
Investments,4,4,46,59,69,78,86,98,113,130,158,158
Other Assets,1359,1381,1238,1482,1966,2229,2972,3819,4463,4669,4710,5328
  └─ Inventories,589,428,467,517,686,597,550,698,1038,1196,999,1218
  └─ Trade receivables,10,11,506,364,405,390,104,175,479,158,283,561
    └─ Receivables over 6m,19,21,0,0,0,0,0,0,0,111,110,
    └─ Receivables under 6m,3,2,506,364,405,390,108,199,503,253,197,
    └─ Prov for Doubtful,-11,-12,0,0,0,0,-4,-24,-24,-206,-24,
  └─ Cash Equivalents,89,58,52,64,75,667,1667,1876,2388,2679,2777,2222
  └─ Loans n Advances,-35,-43,8,9,16,22,20,14,-255,-332,-377,518
  └─ Other asset items,707,926,205,528,784,554,631,1056,814,967,1027,809
Total Assets,1718,1720,1605,1854,2348,2646,3399,4775,5494,5850,6036,6677
