Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,8,8,11,22
Reserves,4,5,9,25,98,116
Borrowings,15,17,14,57,57,176
  └─ Long term Borrowings,5,6,4,3,3,46
  └─ Short term Borrowings,10,11,10,54,54,130
Other Liabilities,10,34,61,60,138,166
  └─ Non controlling int,0,0,0,1,1,2
  └─ Trade Payables,8,32,56,43,121,118
  └─ Advance from Customers,0,1,0,0,0,
  └─ Other liability items,1,1,4,16,16,45
Total Liabilities,35,61,91,149,304,479
Fixed Assets,10,8,8,7,6,24
  └─ Land,0.65,0.65,0.65,0.65,0.65,
  └─ Building,2.56,2.34,2.12,3.52,3.52,
  └─ Plant Machinery,5.55,3.96,4.04,9.27,9.32,
  └─ Equipments,0.03,0.33,0.02,0.91,1.08,
  └─ Computers,0.04,0.02,0.28,0.28,0.44,
  └─ Furniture n fittings,0.09,0.06,0.05,0.24,0.41,
  └─ Vehicles,0.29,0.40,0.45,1.02,1.01,
  └─ Intangible Assets,0.00,0.00,0.00,0.01,0.00,0.20
  └─ Other fixed assets,0.35,0.05,0.05,0.13,0.11,
  └─ Gross Block,9.56,7.81,7.66,16.03,16.54,
  └─ Accumulated Depreciation,0.00,0.00,0.00,8.98,10.29,
CWIP,0,0,0,0,0,11
Investments,0,0,0,0,0,0
Other Assets,25,53,83,142,298,445
  └─ Inventories,10,11,12,15,23,23
  └─ Trade receivables,9,37,54,89,198,323
  └─ Cash Equivalents,2,1,3,12,10,10
  └─ Loans n Advances,0,1,2,9,21,18
  └─ Other asset items,4,3,13,18,46,70
Total Assets,35,61,91,149,304,479
