Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,16,17,19,22,22,22
Reserves,66,83,110,154,241,264,302
Borrowings,17,43,93,119,79,86,55
  └─ Long term Borrowings,12.47,38.45,85.01,98.23,54.96,53.59,31.35
  └─ Short term Borrowings,2.18,1.69,4.52,13.02,13.88,21.36,23.95
  └─ Other Borrowings,1.96,2.46,3.33,7.92,10.51,11.42,
Other Liabilities,17,37,47,44,47,43,101
  └─ Trade Payables,5,20,30,26,27,21,52
  └─ Advance from Customers,1,4,2,2,2,3,
  └─ Other liability items,11,13,15,16,18,19,50
Total Liabilities,115,178,268,336,389,415,481
Fixed Assets,66,69,205,267,314,309,326
  └─ Land,0.00,0.00,5.34,5.34,18.22,18.22,
  └─ Building,14.20,17.05,54.25,57.55,59.85,60.76,
  └─ Plant Machinery,35.48,37.36,117.96,182.87,224.74,233.36,
  └─ Equipments,6.73,12.04,21.21,25.66,28.91,29.88,
  └─ Computers,0.23,1.17,2.17,2.44,2.44,2.57,
  └─ Furniture n fittings,4.28,4.56,21.40,24.25,26.08,26.74,
  └─ Vehicles,2.86,2.86,3.10,4.28,5.03,5.10,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,7.43
  └─ Other fixed assets,15.03,15.23,2.59,2.60,5.41,9.46,
  └─ Gross Block,78.81,90.27,228.02,304.99,370.68,386.09,
  └─ Accumulated Depreciation,13.12,21.18,23.36,38.35,56.39,77.13,
CWIP,13,49,1,6,0,17,4
Investments,0,0,7,3,0,0,0
Other Assets,36,60,55,60,74,90,151
  └─ Inventories,11,16,14,15,28,44,70
  └─ Trade receivables,8,12,14,22,21,31,50
  └─ Cash Equivalents,0,0,0,0,0,0,0
  └─ Loans n Advances,0,0,0,1,1,1,0
  └─ Other asset items,17,31,26,21,24,13,30
Total Assets,115,178,268,336,389,415,481
