Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,8,10,10,10,10,95,139,139,139
Reserves,6,16,24,28,32,143,238,254,258
Borrowings,19,34,38,54,67,62,19,28,38
  └─ Long term Borrowings,,4.77,5.72,5.82,8.03,0.00,0.23,0.24,1.07
  └─ Short term Borrowings,,28.25,30.69,46.51,56.83,61.78,19.06,27.54,36.15
  └─ Lease Liabilities,,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.40
  └─ Other Borrowings,18.84,0.99,1.42,1.60,2.08,0.00,0.00,0.01,
Other Liabilities,11,25,26,43,45,43,48,90,51
  └─ Non controlling int,0.00,0.00,0.00,0.39,0.14,0.00,0.00,0.00,0.00
  └─ Trade Payables,7.69,21.04,15.84,33.50,34.69,27.03,36.51,62.44,37.35
  └─ Advance from Customers,0.37,0.79,6.43,3.33,0.78,3.54,1.87,17.03,
  └─ Other liability items,3.07,3.19,3.37,6.13,9.56,12.31,9.49,10.64,13.35
Total Liabilities,44,85,98,135,154,343,444,512,486
Fixed Assets,9,14,20,20,23,29,54,55,55
  └─ Land,0.00,3.10,4.74,5.43,5.98,0.00,10.28,10.28,
  └─ Building,0.00,2.95,5.14,5.27,6.13,0.00,13.67,14.26,
  └─ Plant Machinery,0.00,6.79,10.44,10.91,13.85,0.00,39.90,43.80,
  └─ Equipments,0.00,0.76,0.89,0.99,1.05,0.00,1.41,1.46,
  └─ Computers,0.00,0.30,0.37,0.44,0.49,0.00,0.98,1.04,
  └─ Furniture n fittings,0.00,0.18,0.20,0.22,0.32,0.00,0.49,1.02,
  └─ Vehicles,0.00,2.70,2.19,2.41,3.20,0.00,2.80,3.69,
  └─ Intangible Assets,0.00,0.23,0.29,0.12,0.06,0.00,13.50,13.50,13.50
  └─ Other fixed assets,9.78,0.00,0.00,-0.01,-0.02,30.37,10.07,10.08,
  └─ Gross Block,9.78,17.01,24.26,25.78,31.06,30.37,93.10,99.13,
  └─ Accumulated Depreciation,1.19,2.68,4.30,6.05,8.16,1.74,38.60,43.92,
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,55,228,140,140
Other Assets,35,71,78,115,131,259,161,316,290
  └─ Inventories,10,21,22,30,26,35,44,40,35
  └─ Trade receivables,19,31,40,69,79,141,77,111,103
    └─ Receivables over 6m,2,4,6,11,10,3,3,10,
    └─ Receivables under 6m,17,27,34,58,69,138,74,101,
  └─ Cash Equivalents,0,0,1,1,0,4,4,5,3
  └─ Loans n Advances,1,9,7,6,10,44,6,35,54
  └─ Other asset items,6,10,8,10,15,34,30,125,95
Total Assets,44,85,98,135,154,343,444,512,486
