Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10
Reserves,761,990,1094,1280,1516,1802,2007
Borrowings,52,86,62,32,10,3,2
  └─ Long term Borrowings,35.53,56.25,31.25,6.24,0.00,0.00,0.00
  └─ Short term Borrowings,0.00,5.10,29.34,25.00,6.23,0.38,0.00
  └─ Lease Liabilities,4.02,0.00,1.91,0.31,3.51,2.59,2.31
  └─ Other Borrowings,12.51,25.00,0.00,0.00,0.00,0.00,
Other Liabilities,118,97,147,192,164,219,215
  └─ Non controlling int,0,0,0,0,0,0,-2
  └─ Trade Payables,71,46,83,94,94,113,102
  └─ Advance from Customers,20,3,12,2,0,0,
  └─ Other liability items,27,48,52,97,70,106,115
Total Liabilities,941,1183,1313,1514,1701,2034,2235
Fixed Assets,240,546,573,593,575,795,793
  └─ Land,54.34,54.70,54.71,54.71,54.71,62.99,
  └─ Building,76.73,198.08,224.79,246.55,257.57,355.33,
  └─ Plant Machinery,130.82,41.13,352.75,391.87,405.98,545.91,
  └─ Equipments,30.11,311.28,48.11,55.72,58.41,75.21,
  └─ Computers,3.84,6.13,6.72,7.29,7.63,10.08,
  └─ Furniture n fittings,10.51,15.31,17.24,19.72,20.35,26.11,
  └─ Vehicles,2.33,3.42,3.71,4.23,5.54,4.84,
  └─ Intangible Assets,0.70,10.01,10.42,10.42,10.88,11.47,1.83
  └─ Other fixed assets,0.77,3.19,1.49,1.18,4.44,3.47,
  └─ Gross Block,310.15,643.25,719.94,791.69,825.51,1095.41,
  └─ Accumulated Depreciation,70.55,97.03,146.97,198.71,250.20,300.73,
CWIP,141,18,74,173,211,51,78
Investments,199,141,74,137,246,335,487
Other Assets,361,477,592,611,668,854,876
  └─ Inventories,111,154,195,212,208,240,326
  └─ Trade receivables,184,178,232,274,350,522,460
    └─ Receivables over 6m,0,0,10,18,23,34,
    └─ Receivables under 6m,185,179,223,256,328,491,
    └─ Prov for Doubtful,-1,-1,-1,-1,-1,-3,
  └─ Cash Equivalents,3,61,89,43,47,1,14
  └─ Loans n Advances,6,38,7,7,15,9,6
  └─ Other asset items,58,47,68,75,49,82,70
Total Assets,941,1183,1313,1514,1701,2034,2235
