Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,6.26,6.26,6.26,6.26,6.26,7.89,7.89,7.89,7.89,7.89,7.89,7.89,
Reserves,10.44,10.82,4.58,3.93,2.70,0.97,0.60,0.28,0.73,0.62,0.53,0.40,
Borrowings,0.27,0.24,0.20,0.15,0.81,0.43,0.00,0.66,0.00,0.00,0.00,0.00,
  └─ Long term Borrowings,0.23,0.00,0.15,0.10,0.10,0.00,0.00,0.66,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.66,0.43,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other Borrowings,0.04,0.24,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,11.15,10.23,9.00,9.09,8.67,2.56,3.29,2.66,2.90,2.04,4.04,4.00,
  └─ Trade Payables,1.16,1.24,1.20,1.21,1.23,1.06,1.44,1.44,1.29,1.22,2.96,2.92,
  └─ Other liability items,9.99,8.99,7.80,7.88,7.44,1.50,1.85,1.22,1.61,0.82,1.08,1.08,
Total Liabilities,28.12,27.55,20.04,19.43,18.44,11.85,11.78,11.49,11.52,10.55,12.46,12.29,
Fixed Assets,18.57,17.77,10.73,10.13,2.23,1.93,1.68,1.48,1.27,1.13,1.01,0.90,
  └─ Building,0.00,8.26,0.00,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,,
  └─ Plant Machinery,0.00,8.96,0.00,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,,
  └─ Equipments,0.00,0.15,0.00,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,
  └─ Computers,0.00,1.12,0.00,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,,
  └─ Furniture n fittings,0.00,0.70,0.00,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,,
  └─ Vehicles,0.00,0.56,0.00,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,,
  └─ Other fixed assets,18.57,5.75,10.73,5.73,0.01,0.01,0.01,0.01,0.01,-0.01,-0.01,,
  └─ Gross Block,18.57,25.50,10.73,25.48,19.76,19.76,19.76,19.76,19.76,19.74,19.74,,
  └─ Accumulated Depreciation,0.00,7.72,0.00,15.36,17.53,17.83,18.08,18.28,18.49,18.61,18.74,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Investments,0.00,0.00,0.00,0.00,6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Assets,9.55,9.78,9.31,9.30,9.97,9.92,10.10,10.01,10.25,9.42,11.45,11.39,
  └─ Trade receivables,9.21,9.35,8.91,8.98,9.64,9.79,9.67,9.53,9.78,0.63,2.62,0.81,
    └─ Receivables over 6m,9.13,9.35,8.91,8.98,9.36,9.79,9.67,9.53,9.78,0.63,2.62,,8.48
    └─ Receivables under 6m,0.08,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,,0.19
  └─ Cash Equivalents,0.15,0.13,0.11,0.10,0.10,0.02,0.02,0.03,0.05,0.05,0.01,1.79,
  └─ Loans n Advances,0.03,0.01,0.00,0.00,0.10,0.00,0.29,0.33,0.04,8.42,8.29,8.29,
  └─ Other asset items,0.16,0.29,0.29,0.22,0.13,0.11,0.12,0.12,0.38,0.32,0.53,0.50,
Total Assets,28.12,27.55,20.04,19.43,18.44,11.85,11.78,11.49,11.52,10.55,12.46,12.29,
