Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Equity Capital,11,11,11,11,11,11,11,11,11,11,11
Reserves,13,19,29,40,50,68,90,126,163,223,278
Borrowings,38,70,108,192,228,209,184,163,158,125,202
  └─ Long term Borrowings,,,,175,203,179,154,128,121,86,165
  └─ Short term Borrowings,,,,5,5,5,4,5,6,4,0
  └─ Other Borrowings,38,70,108,12,19,25,25,30,32,35,37
Other Liabilities,31,25,25,41,50,55,65,85,96,103,116
  └─ Trade Payables,6,3,3,4,6,7,10,18,19,16,20
  └─ Advance from Customers,0,0,0,4,0,0,1,1,2,3,5
  └─ Other liability items,25,22,22,32,43,47,53,66,75,84,90
Total Liabilities,93,126,173,283,338,344,350,384,428,462,606
Fixed Assets,62,69,106,193,295,285,282,285,342,358,444
  └─ Land,3,4,6,6,6,6,6,6,8,9,71
  └─ Building,22,25,48,79,142,143,147,156,166,161,168
  └─ Plant Machinery,4,2,80,140,187,188,194,200,257,194,225
  └─ Equipments,54,62,0,1,2,2,3,2,3,2,2
  └─ Computers,3,4,4,5,7,5,5,5,6,2,3
  └─ Furniture n fittings,8,9,8,8,11,12,12,11,13,9,10
  └─ Vehicles,2,2,2,3,3,2,2,4,5,3,4
  └─ Intangible Assets,1,1,1,1,1,1,2,1,2,1,1
  └─ Other fixed assets,0,0,0,0,1,1,0,1,0,0,1
  └─ Gross Block,97,108,151,244,359,360,372,386,460,381,487
  └─ Accumulated Depreciation,35,39,45,51,64,75,89,101,119,23,43
CWIP,6,20,42,38,0,5,5,17,10,6,13
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,25,36,25,53,43,54,62,83,76,99,149
  └─ Inventories,4,4,5,6,7,9,10,8,9,9,11
  └─ Trade receivables,3,3,4,7,3,4,7,10,9,12,14
  └─ Cash Equivalents,3,22,13,29,26,31,35,56,51,68,92
  └─ Loans n Advances,8,1,1,0,1,0,1,1,1,1,1
  └─ Other asset items,7,6,1,11,6,9,9,7,6,8,31
Total Assets,93,126,173,283,338,344,350,384,428,462,606
