Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10
Reserves,135,148,157,178,190,200,212,224,232
Borrowings,0,0,0,0,0,0,0,0,0
Other Liabilities,12,14,32,37,37,36,39,46,44
  └─ Non controlling int,-0.56,-0.74,0.53,2.11,1.42,2.71,3.56,6.31,7.23
  └─ Trade Payables,1.38,1.02,0.80,13.57,8.25,0.71,2.04,0.35,4.58
  └─ Advance from Customers,0.00,0.00,0.00,0.06,0.07,0.00,0.00,0.03,
  └─ Other liability items,11.64,13.99,31.11,20.97,26.88,32.78,33.51,39.60,31.88
Total Liabilities,158,172,200,225,237,247,262,281,286
Fixed Assets,50,51,51,51,52,52,53,54,53
  └─ Building,46.78,46.78,46.78,46.78,46.78,46.78,46.78,46.78,
  └─ Equipments,0.67,0.82,0.87,0.87,0.92,0.98,1.01,1.03,
  └─ Computers,1.25,3.64,5.39,7.07,9.42,12.12,16.10,19.83,
  └─ Furniture n fittings,0.92,1.36,1.56,1.59,1.62,1.78,1.79,1.79,
  └─ Vehicles,1.10,1.10,1.10,1.10,1.82,1.82,1.82,2.53,
  └─ Intangible Assets,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,11.40
  └─ Other fixed assets,0.01,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,
  └─ Gross Block,54.08,57.05,59.05,60.77,63.90,66.83,70.84,75.31,
  └─ Accumulated Depreciation,4.22,5.86,7.62,9.66,11.60,14.51,17.88,21.12,
CWIP,1,0,0,0,0,0,0,0,0
Investments,31,44,77,64,80,99,104,120,110
Other Assets,76,77,71,109,104,96,105,107,123
  └─ Trade receivables,53,20,34,24,40,40,45,48,60
    └─ Receivables over 6m,0.00,0.00,0.00,0.00,0.00,24.08,21.55,26.35,
    └─ Receivables under 6m,53.88,21.03,34.16,25.69,41.60,18.50,24.42,23.90,
    └─ Prov for Doubtful,-0.61,-0.61,-0.61,-1.26,-2.00,-2.95,-0.70,-1.88,
  └─ Cash Equivalents,5,35,7,55,28,16,17,28,17
  └─ Loans n Advances,6,7,2,2,4,2,3,1,9
  └─ Other asset items,12,15,28,28,33,38,39,30,37
Total Assets,158,172,200,225,237,247,262,281,286
