Metric,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2011
Equity Capital,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,
Reserves,198.18,141.73,127.73,77.79,102.72,-279.08,-123.46,-169.00,-138.44,-79.56,-238.47,-232.24,
Borrowings,168.35,378.40,500.53,579.13,745.51,755.64,604.83,597.82,574.33,595.06,554.70,553.94,
  └─ Long term Borrowings,44,20,263,330,295,756,0,0,0,0,0,554,
  └─ Short term Borrowings,102,346,205,216,415,0,0,0,0,0,0,0,
  └─ Other Borrowings,22,13,32,34,36,0,605,598,574,595,555,,
Other Liabilities,19.13,17.07,13.15,35.66,141.80,167.03,170.10,69.32,76.86,66.49,63.75,63.91,
  └─ Trade Payables,1,0,3,0,0,0,1,2,2,3,4,4,
  └─ Advance from Customers,14,0,0,0,0,0,0,0,0,0,0,,
  └─ Other liability items,5,17,11,35,141,167,169,68,75,64,60,60,
Total Liabilities,396.62,548.16,652.37,703.54,1000.99,654.55,662.43,509.10,523.71,592.95,390.94,396.57,
Fixed Assets,54.84,1.89,1.81,1.74,1.68,1.07,0.43,0.41,0.07,0.07,0.07,0.07,
  └─ Land,35.61,0.87,0.87,0.87,0.87,0.50,0.00,0.00,0.00,0.00,0.00,,
  └─ Building,37.14,3.41,3.41,3.41,3.41,0.56,0.44,0.44,0.04,0.04,0.04,,
  └─ Plant Machinery,1.11,0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Equipments,0.06,0.11,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,,
  └─ Furniture n fittings,0.52,1.04,1.04,1.05,1.05,0.08,0.08,0.08,0.07,0.07,0.07,,
  └─ Vehicles,0.12,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Intangible Assets,2.53,2.53,0.00,2.53,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,0.10,0.07,0.07,0.07,0.07,0.02,0.02,0.02,0.02,0.02,0.02,,
  └─ Gross Block,77.19,8.13,5.61,8.15,8.15,1.17,0.55,0.55,0.14,0.14,0.14,,
  └─ Accumulated Depreciation,22.35,6.24,3.80,6.41,6.47,0.10,0.12,0.14,0.07,0.07,0.07,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Investments,233.81,332.38,451.97,479.34,484.34,115.53,69.53,35.43,48.87,158.17,178.90,197.66,
Other Assets,107.97,213.89,198.59,222.46,514.97,537.95,592.47,473.26,474.77,434.71,211.97,198.84,
  └─ Inventories,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Trade receivables,1,2,1,1,1,1,1,3,5,7,9,9,
    └─ Receivables over 6m,3.14,3.68,3.32,3.51,3.82,0.00,0.00,1.03,3.72,6.44,7.38,,3.17
    └─ Receivables under 6m,1.28,1.17,0.63,0.46,0.65,1.13,0.99,2.65,1.39,0.96,2.00,,1.36
    └─ Prov for Doubtful,-3.14,-3.17,-3.28,-3.15,-3.18,0.00,0.00,-0.26,-0.41,-0.41,-0.41,,-3.14
  └─ Cash Equivalents,1,2,6,2,1,1,3,1,1,1,0,0,
  └─ Loans n Advances,94,3,2,3,6,-23,-52,-157,-158,-125,-125,0,
  └─ Other asset items,11,208,191,217,506,558,641,626,627,552,328,189,
Total Assets,396.62,548.16,652.37,703.54,1000.99,654.55,662.43,509.10,523.71,592.95,390.94,396.57,
