Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13,18,18,18
Reserves,9,14,10,17,31,51,175,201,214
Borrowings,30,31,46,51,64,71,61,55,50
  └─ Long term Borrowings,0.00,6.09,15.10,18.35,23.64,16.36,7.97,2.98,2.26
  └─ Short term Borrowings,0.00,23.83,30.97,32.75,40.63,54.60,53.23,51.67,48.13
  └─ Other Borrowings,30.09,0.74,0.00,0.00,0.00,-0.01,0.01,0.00,
Other Liabilities,45,61,63,67,53,46,44,61,62
  └─ Trade Payables,36,43,43,46,32,27,26,45,50
  └─ Other liability items,9,18,20,21,20,19,18,17,12
Total Liabilities,97,119,132,147,160,181,298,336,345
Fixed Assets,15,17,16,17,18,17,16,16,51
  └─ Land,3.11,3.11,3.11,3.52,5.16,4.83,4.96,4.96,
  └─ Building,9.85,11.53,9.70,10.27,10.29,9.45,9.45,9.45,
  └─ Plant Machinery,4.73,0.00,2.26,3.82,4.08,4.57,4.78,5.12,
  └─ Equipments,0.35,5.68,0.13,0.13,0.17,0.17,0.18,0.23,
  └─ Computers,0.50,0.93,0.48,0.89,1.21,1.36,1.37,1.45,
  └─ Furniture n fittings,0.59,0.52,0.38,0.49,0.67,1.00,1.02,1.03,
  └─ Vehicles,2.57,3.16,0.86,0.92,1.49,2.46,2.75,4.55,
  └─ Intangible Assets,1.28,1.26,1.16,1.16,1.16,1.16,1.16,1.16,1.37
  └─ Other fixed assets,0.02,0.20,0.08,0.08,0.08,0.20,0.27,0.29,
  └─ Gross Block,23.00,26.39,18.16,21.28,24.31,25.20,25.94,28.24,
  └─ Accumulated Depreciation,7.72,9.86,1.93,4.07,6.30,8.34,10.31,12.13,
CWIP,2,1,0,-0,0,1,1,18,-0
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets,80,102,115,130,142,163,282,302,294
  └─ Inventories,34,39,37,35,37,42,50,64,88
  └─ Trade receivables,42,57,71,85,93,106,123,180,185
    └─ Receivables over 6m,9,0,31,38,105,49,62,86,
    └─ Receivables under 6m,33,57,50,58,0,68,77,109,
    └─ Prov for Doubtful,0,0,-9,-11,-12,-11,-15,-15,
  └─ Cash Equivalents,0,0,0,0,2,3,85,29,0
  └─ Loans n Advances,0,3,0,0,0,3,2,2,0
  └─ Other asset items,4,3,6,10,11,10,21,26,21
Total Assets,97,119,132,147,160,181,298,336,345
