Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,0.05,25,65,77,77,77
Reserves,36,63,84,77,476,483,525
Borrowings,57,79,116,123,70,53,70
  └─ Long term Borrowings,17.00,34.59,38.72,1.18,2.59,1.72,1.31
  └─ Short term Borrowings,29.86,34.77,67.84,113.54,42.59,22.05,39.88
  └─ Lease Liabilities,9.94,10.01,9.55,8.04,25.15,28.97,28.51
  └─ Other Borrowings,-0.01,0.00,0.00,0.00,0.00,-0.01,
Other Liabilities,52,32,40,46,35,65,95
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,1.51,7.25
  └─ Trade Payables,32.47,23.10,23.21,24.07,21.36,34.08,45.05
  └─ Advance from Customers,0.95,0.85,0.99,2.28,2.08,3.01,
  └─ Other liability items,18.72,8.27,15.69,19.69,11.12,26.51,43.04
Total Liabilities,145,174,265,311,658,678,767
Fixed Assets,54,59,60,65,106,200,204
  └─ Land,3.67,3.67,3.67,3.38,3.67,3.67,
  └─ Building,3.80,3.38,3.38,3.67,3.38,63.21,
  └─ Plant Machinery,12.47,13.90,19.45,27.74,49.81,88.48,
  └─ Equipments,0.33,0.85,1.04,1.66,2.04,4.27,
  └─ Computers,0.31,0.15,0.21,0.48,1.48,2.97,
  └─ Furniture n fittings,0.42,0.40,0.42,1.18,3.23,6.28,
  └─ Vehicles,3.96,3.26,3.87,4.94,8.12,10.93,
  └─ Intangible Assets,0.00,0.00,0.00,0.49,0.56,0.64,6.01
  └─ Other fixed assets,33.31,38.22,38.66,38.59,60.78,70.07,
  └─ Gross Block,58.27,63.83,70.70,82.13,133.07,250.52,
  └─ Accumulated Depreciation,4.18,5.28,10.24,17.14,27.32,50.17,
CWIP,1,4,9,27,72,48,96
Investments,0,0,0,0,0,0,0
Other Assets,90,112,195,219,480,430,468
  └─ Inventories,37,58,110,121,135,142,201
  └─ Trade receivables,30,33,56,73,97,113,133
    └─ Receivables over 6m,4,3,3,21,25,39,
    └─ Receivables under 6m,26,31,54,53,73,77,
    └─ Prov for Doubtful,-0,-1,-1,-1,-1,-3,
  └─ Cash Equivalents,8,4,3,3,191,110,58
  └─ Loans n Advances,3,6,11,7,9,12,5
  └─ Other asset items,12,11,16,16,48,53,71
Total Assets,145,174,265,311,658,678,767
