Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,42,42,42,42,42,42,42,42,42,42,42,49,
Reserves,239,277,275,327,558,580,538,633,552,399,238,263,
Borrowings,254,334,391,1143,1821,1762,1943,6114,5285,10775,16221,16058,
  └─ Long term Borrowings,31,106,189,537,1704,1655,0,0,0,0,0,15758,
  └─ Short term Borrowings,171,199,200,416,94,79,0,0,0,0,0,0,
  └─ Lease Liabilities,0,0,0,0,23,29,0,0,0,0,0,300,
  └─ Preference Capital,0,0,0,0,0,0,0,156,156,156,156,0,
  └─ Other Borrowings,52,29,2,190,-0,0,1943,5958,5129,10618,16065,,
Other Liabilities,226,283,416,517,420,544,637,5707,5862,6169,6089,5113,
  └─ Non controlling int,84,99,165,150,58,195,197,1315,1283,1302,1346,1006,
  └─ Trade Payables,70,132,94,114,46,88,82,113,147,188,168,213,
  └─ Advance from Customers,0,0,0,0,0,0,3,5,46,32,18,,
  └─ Other liability items,72,51,157,253,316,260,355,4274,4386,4646,4557,3894,
Total Liabilities,760,936,1123,2029,2840,2928,3160,12495,11740,17384,22589,21483,
Fixed Assets,78,85,110,167,175,187,169,405,510,663,955,998,
  └─ Land,0,0,0,0,0,0,0,0,0,27,183,,
  └─ Building,35,35,30,31,50,58,91,359,456,617,741,,
  └─ Plant Machinery,2,2,2,2,0,0,0,0,0,0,0,,
  └─ Equipments,7,7,8,10,4,5,5,12,63,57,67,,
  └─ Computers,10,11,13,15,3,5,6,7,82,94,135,,
  └─ Furniture n fittings,10,13,16,18,3,4,5,16,68,66,108,,
  └─ Vehicles,8,10,11,13,8,10,10,12,17,22,17,,
  └─ Intangible Assets,54,53,82,113,78,87,87,48,58,64,64,190,
  └─ Other fixed assets,4,9,12,32,45,59,12,16,82,107,110,,
  └─ Gross Block,130,142,173,234,191,228,216,470,825,1054,1425,,
  └─ Accumulated Depreciation,53,57,63,67,16,41,46,65,315,391,470,,
CWIP,2,0,0,4,0,0,0,0,5,5,131,153,
Investments,39,37,51,101,164,47,78,2867,2517,3914,5281,4158,
Other Assets,642,814,963,1758,2501,2695,2913,9222,8707,12803,16223,16173,
  └─ Inventories,4,27,17,33,0,0,0,0,0,0,0,0,
  └─ Trade receivables,181,245,174,262,82,60,35,35,32,43,60,58,
    └─ Receivables over 6m,70,123,47,49,0,0,0,0,10,13,14,,43
    └─ Receivables under 6m,124,135,129,213,107,71,43,35,32,46,63,,122
    └─ Prov for Doubtful,-14,-13,-2,-1,-24,-11,-8,0,-10,-16,-17,,-13
  └─ Cash Equivalents,148,125,250,302,266,391,472,4630,780,794,1455,1284,
  └─ Loans n Advances,36,1,2,2,25,58,46,96,112,156,199,13117,
  └─ Other asset items,273,416,519,1159,2129,2186,2359,4462,7783,11810,14509,1715,
Total Assets,760,936,1123,2029,2840,2928,3160,12495,11740,17384,22589,21483,
