Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9
Reserves,14,22,27,32
Borrowings,20,28,30,30
  └─ Long term Borrowings,3.16,1.43,0.81,0.67
  └─ Short term Borrowings,17.33,26.94,28.94,28.97
Other Liabilities,14,10,11,12
  └─ Trade Payables,9.63,5.16,5.61,4.06
  └─ Advance from Customers,1.40,2.50,2.27,
  └─ Other liability items,3.38,2.78,3.25,7.47
Total Liabilities,58,70,77,82
Fixed Assets,12,12,10,10
  └─ Land,1.96,1.96,2.08,
  └─ Building,7.68,7.68,7.68,
  └─ Plant Machinery,12.58,13.75,13.96,
  └─ Equipments,0.07,0.08,0.11,
  └─ Computers,0.05,0.06,0.06,
  └─ Furniture n fittings,0.34,0.36,0.36,
  └─ Vehicles,1.94,1.77,1.77,
  └─ Intangible Assets,0.02,0.02,0.02,0.00
  └─ Other fixed assets,0.02,0.00,-0.01,
  └─ Gross Block,24.66,25.68,26.03,
  └─ Accumulated Depreciation,12.35,14.07,15.62,
CWIP,0,0,0,0
Investments,0,0,1,1
Other Assets,46,58,66,72
  └─ Inventories,11.97,29.96,30.35,26.79
  └─ Trade receivables,24.49,19.20,25.36,34.14
    └─ Receivables over 6m,4.96,2.49,5.57,
    └─ Receivables under 6m,19.53,16.71,19.79,
  └─ Cash Equivalents,2.98,3.36,0.98,1.17
  └─ Loans n Advances,4.90,4.44,4.45,3.01
  └─ Other asset items,1.21,1.44,4.88,6.62
Total Assets,58,70,77,82
