Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,17,17,17,17
Reserves,140,210,217,230,216,262,313,367,434,445,424
Borrowings,17,8,4,9,27,24,58,74,86,128,145
  └─ Long term Borrowings,0,0,0,0,15,13,16,11,6,0,0
  └─ Short term Borrowings,17,8,4,9,12,11,42,63,80,126,141
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,2,4
  └─ Other Borrowings,0,0,0,0,0,0,0,0,0,0,
Other Liabilities,74,68,100,87,110,97,181,177,179,196,181
  └─ Trade Payables,30,33,56,38,45,42,103,81,81,75,65
  └─ Advance from Customers,25,21,26,29,47,38,46,52,55,73,
  └─ Other liability items,19,14,17,20,19,17,32,44,43,49,116
Total Liabilities,248,303,337,343,369,399,569,635,716,787,767
Fixed Assets,107,113,108,120,134,140,157,169,185,204,250
  └─ Land,28.06,28.06,28.06,41.28,41.28,41.28,41.28,41.28,41.28,41.28,
  └─ Building,36.56,44.74,44.74,44.74,44.74,51.29,55.58,56.59,59.01,76.29,
  └─ Plant Machinery,61.86,64.85,66.56,67.27,85.75,89.44,108.10,126.81,154.49,166.93,
  └─ Equipments,1.81,1.82,1.84,1.98,2.28,2.35,2.47,2.99,3.27,3.93,
  └─ Computers,5.54,6.25,6.39,6.45,7.04,7.12,8.52,8.79,9.77,10.49,
  └─ Furniture n fittings,8.86,8.90,8.90,8.90,9.14,9.91,10.10,10.91,11.12,11.74,
  └─ Vehicles,1.57,2.25,2.25,2.67,2.55,2.55,3.00,3.50,3.75,3.75,
  └─ Intangible Assets,17.88,17.88,17.88,21.76,23.34,27.48,28.31,30.11,30.11,29.13,10.40
  └─ Other fixed assets,-0.01,-0.01,1.23,1.28,1.52,1.66,1.79,3.13,2.77,11.28,
  └─ Gross Block,162.13,174.74,177.85,196.33,217.64,233.08,259.15,284.11,315.57,354.82,
  └─ Accumulated Depreciation,54.70,61.49,69.43,76.19,83.57,93.10,101.69,115.09,130.60,150.83,
CWIP,0,1,0,1,7,1,0,7,24,50,9
Investments,16,63,57,51,42,85,55,43,72,80,40
Other Assets,124,126,172,170,186,173,356,415,435,453,469
  └─ Inventories,61,66,102,106,125,112,204,209,239,291,286
  └─ Trade receivables,40,35,44,35,16,22,56,110,99,91,80
    └─ Receivables over 6m,2,0,0,0,0,0,3,8,44,42,
    └─ Receivables under 6m,38,36,45,36,17,23,53,101,57,57,
    └─ Prov for Doubtful,0,-0,-1,-1,-1,-1,0,0,-2,-8,
  └─ Cash Equivalents,4,2,1,3,6,8,32,54,45,8,3
  └─ Loans n Advances,7,7,7,7,10,8,31,10,16,16,6
  └─ Other asset items,12,16,17,19,28,23,33,33,36,47,93
Total Assets,248,303,337,343,369,399,569,635,716,787,767
