Metric,Dec 2014,Dec 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,111,111,111,111,111,111,111,111,111,111,111,111
Reserves,193,222,239,272,322,385,444,502,565,243,247,285
Borrowings,2,1,1,0,0,2,3,2,1,105,85,71
  └─ Long term Borrowings,1.58,0.91,0.46,0.03,0.00,0.00,0.00,0.00,0.00,104.26,64.10,47.41
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.37,23.70
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,2.31,2.65,1.72,1.34,1.00,0.00,0.00
  └─ Other Borrowings,0.54,0.53,0.35,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,103,78,101,84,80,75,67,61,66,64,60,56
  └─ Trade Payables,35.50,32.80,54.85,34.90,31.31,31.99,22.93,16.14,15.46,18.04,19.28,15.45
  └─ Advance from Customers,1.40,0.14,1.39,2.90,0.10,0.44,0.80,0.00,0.00,0.00,0.00,
  └─ Other liability items,65.83,44.92,44.78,46.48,48.67,42.20,42.88,45.01,50.14,45.82,40.82,40.20
Total Liabilities,409,412,452,468,513,573,625,676,743,523,504,523
Fixed Assets,166,164,161,159,159,161,160,161,160,159,158,158
  └─ Building,11,11,7,0,0,2,2,2,1,1,0,
  └─ Equipments,4,3,3,2,2,2,1,1,1,0,0,
  └─ Computers,83,20,16,13,12,10,10,10,8,4,2,
  └─ Furniture n fittings,4,3,3,0,0,0,0,0,0,0,0,
  └─ Vehicles,4,3,2,0,0,0,0,0,0,0,0,
  └─ Intangible Assets,169,167,166,158,158,158,158,158,158,158,158,158
  └─ Gross Block,276,207,197,173,173,172,172,172,169,164,160,
  └─ Accumulated Depreciation,110,43,36,14,14,11,12,12,9,4,2,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,101,122,0,0,0,0,0,0,0,0
Other Assets,243,249,190,188,355,412,465,516,583,364,346,364
  └─ Trade receivables,67,46,46,31,29,21,9,15,8,11,12,17
  └─ Cash Equivalents,75,108,52,79,259,327,392,440,515,308,301,312
  └─ Loans n Advances,1,1,1,0,1,0,-0,1,1,1,1,0
  └─ Other asset items,100,94,90,77,66,64,64,60,60,43,32,36
Total Assets,409,412,452,468,513,573,625,676,743,523,504,523
