Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20,20,20
Reserves,,40,45,50
Borrowings,,29,28,30
  └─ Long term Borrowings,,0.67,0.64,0.44
  └─ Short term Borrowings,,28.05,27.56,29.44
Other Liabilities,,21,64,53
  └─ Trade Payables,,16.40,44.77,38.70
  └─ Advance from Customers,,1.66,6.32,
  └─ Other liability items,,3.15,13.24,14.73
Total Liabilities,,110,158,154
Fixed Assets,,24,23,21
  └─ Land,,0.20,0.20,
  └─ Building,,17.15,17.15,
  └─ Plant Machinery,,12.70,12.84,
  └─ Equipments,,0.38,0.38,
  └─ Furniture n fittings,,0.29,0.29,
  └─ Vehicles,,2.20,2.44,
  └─ Intangible Assets,,0.00,0.00,0.01
  └─ Other fixed assets,,0.06,0.06,
  └─ Gross Block,,32.98,33.36,
  └─ Accumulated Depreciation,,8.63,10.57,
CWIP,,0,0,0
Investments,,6,6,5
Other Assets,,80,129,127
  └─ Inventories,,34,57,46
  └─ Trade receivables,,13,22,26
    └─ Receivables over 6m,,7.51,4.31,
    └─ Receivables under 6m,,5.30,18.13,
    └─ Prov for Doubtful,,-0.18,-0.14,
  └─ Cash Equivalents,,1,1,2
  └─ Loans n Advances,,1,0,1
  └─ Other asset items,,32,48,52
Total Assets,,110,158,154
