Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,142,144,145,147,148,148
Reserves,169,168,180,234,216,218
Borrowings,0,0,0,0,111,514
  └─ Long term Borrowings,0,0,0,0,95,458
  └─ Short term Borrowings,0,0,0,0,15,56
  └─ Lease Liabilities,0,0,0,0,1,1
Other Liabilities,120,150,143,158,226,179
  └─ Trade Payables,51,63,63,67,131,90
  └─ Advance from Customers,6,6,7,12,5,
  └─ Other liability items,63,81,73,80,90,89
Total Liabilities,432,462,468,540,700,1058
Fixed Assets,182,197,182,171,163,417
  └─ Land,8.50,8.50,8.50,8.50,8.50,
  └─ Building,7.55,26.58,27.27,30.18,33.00,
  └─ Plant Machinery,255.67,275.01,289.59,305.51,309.33,
  └─ Furniture n fittings,7.21,8.11,8.05,9.05,9.29,
  └─ Railway sidings,0.08,0.08,0.08,0.08,0.08,
  └─ Vehicles,0.93,1.19,0.88,0.77,1.84,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,24.04
  └─ Other fixed assets,13.12,16.54,16.94,17.80,16.38,
  └─ Gross Block,293.06,336.01,351.31,371.89,378.42,
  └─ Accumulated Depreciation,110.69,139.21,169.81,201.11,215.14,
CWIP,13,5,7,39,216,4
Investments,0,0,0,2,2,3
Other Assets,237,260,280,328,319,635
  └─ Inventories,75,127,115,138,115,111
  └─ Trade receivables,11,13,22,32,18,37
  └─ Cash Equivalents,124,83,108,14,50,5
  └─ Loans n Advances,7,7,8,7,10,18
  └─ Other asset items,20,30,26,137,126,464
Total Assets,432,462,468,540,700,1058
