Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4720,5720,8426,8426
Reserves,168,513,10014,10539
Borrowings,6137,13856,19441,31716
  └─ Long term Borrowings,5244,12165,17301,28637
  └─ Short term Borrowings,174,632,671,621
  └─ Lease Liabilities,719,1059,1469,2458
  └─ Other Borrowings,-0,0,0,
Other Liabilities,7407,7119,7540,9700
  └─ Non controlling int,0,0,92,224
  └─ Trade Payables,102,62,89,152
  └─ Advance from Customers,2,1,1,
  └─ Other liability items,7302,7056,7358,9324
Total Liabilities,18431,27207,45421,60382
Fixed Assets,14758,17573,21816,39202
  └─ Land,1259.16,2923.96,4066.81,
  └─ Building,25.55,144.14,178.96,
  └─ Plant Machinery,15090.33,16730.60,20308.58,
  └─ Equipments,0.29,0.29,0.34,
  └─ Furniture n fittings,2.88,132.03,453.56,
  └─ Vehicles,-0.00,-0.00,0.90,
  └─ Intangible Assets,-0.00,-0.00,-0.00,1.34
  └─ Other fixed assets,78.28,19.29,28.18,
  └─ Gross Block,16456.49,19950.31,25037.33,
  └─ Accumulated Depreciation,1698.37,2377.30,3221.40,
CWIP,1749,7138,13983,14193
Investments,-0,0,3199,3536
Other Assets,1924,2495,6423,3451
  └─ Inventories,9,25,32,36
  └─ Trade receivables,326,705,516,614
  └─ Cash Equivalents,73,472,3517,618
  └─ Loans n Advances,5,4,8,140
  └─ Other asset items,1512,1289,2349,2042
Total Assets,18431,27207,45421,60382
