Metric,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,7,7,15,16,16,16,16,16,16,16
Reserves,2,2,146,204,202,135,138,114,104,108
Borrowing,4,3,68,360,539,483,274,257,208,129
Other Liabilities,2,2,13,34,49,22,24,19,26,26
  └─ Non controlling int,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,0.03,0.06,1.00,0.61,0.74,0.46,0.78,0.55,0.92,0.21
  └─ Advance from Customers,0.00,0.00,0.00,0.22,0.16,0.00,0.00,0.00,0.00,
  └─ Other liability items,1.49,2.10,11.84,33.56,48.35,21.38,23.54,18.69,24.83,26.10
Total Liabilities,14,15,242,614,807,656,452,407,354,280
Fixed Assets,1,1,1,1,2,4,4,2,2,2
  └─ Land,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,
  └─ Building,0.01,0.01,0.00,0.00,0.00,2.77,2.52,0.26,0.26,
  └─ Plant Machinery,0.59,0.62,0.36,0.19,0.19,0.05,0.05,0.05,0.00,
  └─ Equipments,0.05,0.07,0.12,0.19,0.29,0.27,0.35,0.49,0.49,
  └─ Computers,0.07,0.09,0.49,0.72,0.74,0.26,0.43,0.29,0.56,
  └─ Furniture n fittings,0.16,0.16,0.22,0.73,0.88,0.82,0.83,0.83,0.74,
  └─ Vehicles,0.28,0.28,0.48,0.48,0.99,0.59,1.05,1.05,1.05,
  └─ Intangible Assets,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
  └─ Other fixed assets,0.00,0.00,0.04,0.04,0.06,0.29,0.29,0.28,0.29,
  └─ Gross Block,1.33,1.40,1.71,2.35,3.15,5.29,5.76,3.49,3.39,
  └─ Accumulated Depreciation,0.35,0.42,0.58,0.97,1.41,0.93,1.67,1.34,1.66,
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,3,4,0,0,0,0,38,41,43,0
Other Assets,10,10,240,613,805,651,410,364,309,278
  └─ Inventories,1,1,0,0,0,0,0,0,0,0
  └─ Trade receivables,0,0,4,0,0,0,0,0,0,0
  └─ Cash Equivalents,1,1,79,41,40,72,64,79,57,74
  └─ Loans n Advances,7,7,-73,0,1,4,2,3,5,135
  └─ Other asset items,1,0,231,572,764,575,344,282,248,69
Total Assets,14,15,242,614,807,656,452,407,354,280
