Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Mar 2016
Equity Capital,12,12,12,12,12,12,12,12,12,12,
Reserves,250,285,314,339,371,400,432,477,523,541,
Borrowings,0,0,0,0,1,1,0,0,0,0,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,1.26,1.07,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,
Other Liabilities,41,46,38,42,42,33,43,40,37,32,
  └─ Non controlling int,0.08,0.00,-0.01,-0.14,-0.27,-0.50,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,13.95,14.63,12.69,13.31,13.92,11.81,16.57,20.14,21.49,18.15,14.59
  └─ Advance from Customers,4.36,12.49,2.58,12.28,12.69,7.36,12.99,4.93,2.03,,
  └─ Other liability items,22.56,18.46,22.69,16.76,15.30,14.50,13.28,15.20,13.81,14.06,20.35
Total Liabilities,303,342,364,393,425,446,486,530,572,585,
Fixed Assets,113,125,135,128,117,102,77,75,73,70,
  └─ Land,7.38,7.38,7.38,8.98,8.98,8.98,7.38,7.38,7.38,,
  └─ Building,42.07,44.08,45.84,45.47,48.77,49.38,31.89,31.90,32.66,,
  └─ Plant Machinery,39.49,58.14,73.67,75.71,76.78,76.86,77.77,81.73,82.82,,
  └─ Equipments,33.17,38.18,46.97,50.58,52.60,53.34,55.94,61.59,70.11,,
  └─ Computers,0.72,0.79,0.91,1.03,1.22,1.31,1.19,1.47,1.52,,
  └─ Furniture n fittings,1.83,2.76,3.53,3.88,3.71,3.71,2.81,2.84,2.85,,
  └─ Vehicles,0.62,0.62,0.87,0.78,0.78,0.78,1.17,1.17,1.18,,
  └─ Other fixed assets,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,,
  └─ Gross Block,125.26,151.94,179.17,186.43,192.84,194.36,178.15,188.07,198.51,,
  └─ Accumulated Depreciation,11.94,27.20,43.91,58.15,76.12,92.35,101.22,113.14,125.05,,
CWIP,0,0,0,1,0,0,0,0,0,0,
Investments,24,18,39,80,120,150,156,169,310,345,
Other Assets,166,199,190,183,189,194,254,285,188,170,
  └─ Inventories,78,103,98,98,103,102,92,76,70,71,70
  └─ Trade receivables,51,68,76,66,67,71,74,86,75,81,48
    └─ Receivables over 6m,0,0,0,0,0,10,11,9,12,,
    └─ Receivables under 6m,52,69,77,68,69,64,65,76,63,,
    └─ Prov for Doubtful,-1,-1,-1,-1,-2,-2,-2,0,0,,
  └─ Cash Equivalents,14,8,4,4,5,6,7,9,29,4,25
  └─ Loans n Advances,13,11,6,5,3,5,53,103,2,4,19
  └─ Other asset items,10,9,5,10,10,10,28,11,13,10,0
Total Assets,303,342,364,393,425,446,486,530,572,585,
