Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,12,12,12,14,14,14,14,14,14,15,15,15,
Reserves,1458,1586,1783,2616,2820,2735,2758,2776,2774,3110,3245,3596,
Borrowings,1071,1234,944,568,635,921,688,788,684,375,387,774,
  └─ Long term Borrowings,0,35,30,51,125,474,552,440,421,251,156,478,
  └─ Short term Borrowings,1070,1199,914,467,347,177,136,348,263,124,231,297,
  └─ Other Borrowings,0,0,0,50,162,269,0,0,0,0,0,,
Other Liabilities,1679,1340,940,457,457,503,588,1920,3786,4419,4675,5528,
  └─ Non controlling int,63,58,71,77,91,0,0,0,0,0,0,861,
  └─ Trade Payables,1344,1055,138,108,149,212,183,194,211,298,278,276,
  └─ Advance from Customers,99,77,81,91,75,79,99,96,84,86,109,,
  └─ Other liability items,173,150,650,180,142,212,306,1630,3490,4035,4288,4391,
Total Liabilities,4220,4173,3679,3656,3926,4173,4048,5498,7258,7918,8322,9913,
Fixed Assets,73,48,72,70,72,55,53,122,149,490,497,639,
  └─ Land,-0.00,2.01,2.01,2.01,2.01,3.50,3.50,3.50,4.10,5.12,5.12,,
  └─ Building,5.30,7.26,7.26,7.26,7.26,13.14,13.14,13.14,15.55,19.12,19.12,,
  └─ Plant Machinery,0.12,0.10,0.24,0.24,0.92,8.84,8.95,23.14,23.38,24.41,28.66,,
  └─ Equipments,0.52,0.26,1.20,1.21,1.46,2.35,2.63,3.08,3.47,3.83,4.39,,
  └─ Computers,2.13,0.36,0.45,0.52,0.93,1.28,1.45,1.96,2.44,3.34,3.98,,
  └─ Furniture n fittings,16.39,5.77,5.00,5.06,5.55,13.24,12.98,17.90,26.01,37.56,40.56,,
  └─ Vehicles,2.43,1.62,1.71,1.71,1.82,1.82,3.29,3.29,3.71,4.46,10.71,,
  └─ Intangible Assets,59.79,31.91,31.84,31.84,31.84,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,2.99,
  └─ Other fixed assets,1.14,0.33,27.15,27.15,27.13,19.66,20.84,77.48,99.99,431.45,435.84,,
  └─ Gross Block,87.82,49.62,76.86,77.00,78.92,63.83,66.78,143.49,178.65,529.29,548.38,,
  └─ Accumulated Depreciation,14.82,2.10,4.74,6.52,6.45,8.63,13.86,20.99,29.61,38.83,51.58,,
CWIP,0,0,0,0,0,0,10,7,102,18,34,0,
Investments,30,369,322,220,261,271,258,235,241,230,235,73,
Other Assets,4117,3756,3285,3365,3593,3846,3727,5134,6766,7179,7556,9201,
  └─ Inventories,3459,3130,2802,2643,2632,2744,2614,4042,5725,5966,6206,7896,
  └─ Trade receivables,210,159,162,291,371,370,334,270,150,293,117,113,
    └─ Receivables over 6m,13,-0,-0,-0,-0,-0,130,235,73,30,56,,1
    └─ Receivables under 6m,197,159,162,291,371,374,210,40,78,263,62,,110
    └─ Prov for Doubtful,-0,-0,-0,-0,-1,-4,-6,-4,-2,-1,-1,,-0
  └─ Cash Equivalents,109,92,60,110,148,166,99,97,158,106,203,95,
  └─ Loans n Advances,68,193,104,178,80,114,102,105,234,245,337,398,
  └─ Other asset items,271,183,157,143,362,452,578,619,499,570,693,699,
Total Assets,4220,4173,3679,3656,3926,4173,4048,5498,7258,7918,8322,9913,
