Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,21,25,26,27,27,28,28,28,28,27,27,27,28
Reserves,92,244,334,-67,-20,123,239,344,432,562,711,936,1101
Borrowings,26,43,127,144,131,74,121,46,80,56,57,28,20
  └─ Long term Borrowings,0.19,3.62,0.00,20.37,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,25.20,38.26,127.05,118.85,111.01,73.69,83.77,16.11,46.96,30.44,34.93,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,37.70,29.57,33.08,25.33,22.30,27.93,20.30
  └─ Other Borrowings,0.22,1.20,-0.01,4.63,5.57,-0.01,0.00,-0.01,0.00,0.00,0.00,0.01,
Other Liabilities,47,72,149,125,100,83,91,114,158,201,211,248,330
  └─ Trade Payables,13,36,93,52,54,56,60,62,94,115,68,115,151
  └─ Other liability items,34,36,56,73,46,27,31,52,64,85,142,133,179
Total Liabilities,185,384,636,228,238,308,480,532,698,846,1006,1239,1479
Fixed Assets,69,71,141,64,62,68,102,93,113,135,121,121,107
  └─ Building,6,6,6,3,3,5,5,35,5,6,7,11,
  └─ Equipments,0,1,3,1,1,3,4,4,4,4,5,6,
  └─ Computers,16,22,43,8,5,3,8,13,34,46,48,53,
  └─ Furniture n fittings,4,4,6,5,5,9,11,11,11,11,13,11,
  └─ Vehicles,0,0,0,0,0,0,2,2,2,2,0,0,
  └─ Intangible Assets,0,0,55,55,55,55,55,55,55,74,74,74,74
  └─ Other fixed assets,56,58,59,0,0,0,30,0,37,44,45,57,
  └─ Gross Block,82,91,172,71,69,76,114,120,147,188,192,212,
  └─ Accumulated Depreciation,13,20,31,8,7,8,12,26,34,53,71,91,
CWIP,10,55,64,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,49,80,120,177,250,146,41
Other Assets,106,258,430,164,176,239,329,358,465,533,635,973,1331
  └─ Trade receivables,64,135,176,103,115,124,164,158,227,255,319,409,490
  └─ Cash Equivalents,6,34,4,16,18,62,87,128,115,107,160,255,190
  └─ Loans n Advances,0,24,72,20,19,8,6,7,6,10,17,150,521
  └─ Other asset items,37,65,178,24,25,46,71,65,117,162,139,160,130
Total Assets,185,384,636,228,238,308,480,532,698,846,1006,1239,1479
