Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,
Reserves,34.01,33.21,33.04,33.44,33.77,33.91,34.20,34.62,35.14,34.52,36.95,43.85,
Borrowing,17.98,14.06,18.82,11.43,8.12,9.06,8.50,10.10,7.99,10.05,12.04,13.97,
Other Liabilities,26.93,22.46,5.52,8.81,5.32,5.14,5.85,4.28,6.19,5.33,7.25,7.71,
  └─ Non controlling int,3.32,2.11,2.23,2.31,2.39,2.44,2.47,2.52,2.60,2.66,3.34,4.59,
  └─ Trade Payables,5.88,1.21,0.74,0.07,0.40,0.55,1.03,0.41,0.87,0.30,1.04,0.37,
  └─ Advance from Customers,0.00,0.00,0.00,0.00,1.52,1.16,1.48,0.01,1.53,0.60,0.60,,
  └─ Other liability items,17.73,19.14,2.55,6.43,1.01,0.99,0.87,1.34,1.19,1.77,2.27,2.75,
Total Liabilities,89.99,80.80,68.45,64.75,58.28,59.18,59.62,60.07,60.39,60.97,67.31,76.60,
Fixed Assets,30.37,24.85,23.97,23.96,23.83,23.73,24.10,24.19,24.28,23.16,23.34,23.56,
  └─ Land,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
  └─ Building,28.96,23.62,22.91,22.91,22.91,22.91,22.91,22.91,22.91,22.91,22.91,,
  └─ Plant Machinery,0.10,0.10,0.10,0.04,0.08,0.08,0.08,0.00,0.00,0.00,0.00,,
  └─ Equipments,0.73,0.75,0.75,0.77,0.78,0.81,0.88,1.10,1.15,1.18,1.24,,
  └─ Computers,0.77,0.69,0.69,0.73,0.71,0.71,0.72,0.74,0.75,0.76,0.76,,
  └─ Furniture n fittings,1.76,0.31,0.31,0.31,0.31,0.31,0.33,0.36,0.36,0.36,0.36,,
  └─ Vehicles,1.75,1.75,1.75,1.93,1.93,1.93,2.37,1.09,1.30,1.30,1.44,,
  └─ Intangible Assets,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,0.97,0.97,0.98,
  └─ Other fixed assets,0.82,0.83,0.84,0.84,0.83,0.84,0.83,0.84,0.84,0.84,0.85,,
  └─ Gross Block,36.86,30.02,29.32,29.50,29.52,29.56,30.09,29.01,29.28,28.33,28.54,,
  └─ Accumulated Depreciation,6.49,5.17,5.35,5.55,5.70,5.82,5.99,4.82,5.00,5.17,5.19,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Investments,1.59,1.59,2.79,1.74,1.78,1.51,1.82,1.42,2.17,2.07,1.98,4.75,
Other Assets,58.03,54.36,41.69,39.05,32.67,33.94,33.70,34.46,33.94,35.74,41.99,48.29,
  └─ Inventories,1.06,0.98,0.98,0.98,0.98,1.28,1.01,1.01,1.00,2.86,6.60,11.34,
  └─ Trade receivables,15.38,17.40,5.69,5.79,5.71,5.37,5.15,4.98,6.13,5.84,6.37,10.30,
    └─ Receivables over 6m,9.67,10.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.28,5.16,,7.71
    └─ Receivables under 6m,5.71,6.51,5.69,5.79,5.71,5.37,5.15,4.98,6.13,0.56,1.20,,6.44
  └─ Cash Equivalents,11.63,14.20,2.22,1.40,1.18,2.56,3.45,4.18,3.35,2.48,5.05,2.43,
  └─ Loans n Advances,18.30,14.36,0.08,0.29,1.24,1.46,1.36,1.49,1.63,7.95,7.15,6.98,
  └─ Other asset items,11.66,7.42,32.72,30.59,23.56,23.27,22.73,22.80,21.83,16.61,16.82,17.24,
Total Assets,89.99,80.80,68.45,64.75,58.28,59.18,59.62,60.07,60.39,60.97,67.31,76.60,
