Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2021
Equity Capital,8,8,22,24,24,24,24,35,
Reserves,46,48,108,306,504,623,734,733,
Borrowings,0,19,33,270,568,637,478,442,
  └─ Long term Borrowings,0,8,3,49,34,21,14,27,14
  └─ Short term Borrowings,0,10,24,216,524,607,453,406,55
  └─ Lease Liabilities,0,0,6,5,10,9,11,10,0
Other Liabilities,63,35,209,384,380,729,713,475,
  └─ Non controlling int,2,2,0,0,0,0,0,0,0
  └─ Trade Payables,30,28,165,284,303,578,542,319,230
  └─ Advance from Customers,28,0,34,51,34,61,67,,
  └─ Other liability items,4,5,10,50,43,90,104,156,58
Total Liabilities,117,110,372,984,1475,2013,1949,1686,
Fixed Assets,0,0,19,180,203,362,374,351,
  └─ Land,0,0,6,35,44,50,57,,
  └─ Building,0,0,9,55,70,104,131,,
  └─ Plant Machinery,0,0,1,66,83,114,131,,
  └─ Equipments,0,0,1,2,3,5,6,,
  └─ Computers,0,0,0,0,0,0,0,,
  └─ Furniture n fittings,0,0,1,3,3,4,4,,
  └─ Vehicles,1,0,8,12,15,19,22,,
  └─ Intangible Assets,0,0,0,24,24,115,115,124,0
  └─ Other fixed assets,0,0,0,5,5,27,27,,
  └─ Gross Block,1,0,26,202,247,438,493,,
  └─ Accumulated Depreciation,0,0,7,22,44,76,119,,
CWIP,0,0,4,5,14,15,1,1,
Investments,32,3,0,0,0,0,1,1,
Other Assets,85,107,349,800,1258,1636,1573,1333,
  └─ Inventories,10,24,154,455,709,958,773,651,150
  └─ Trade receivables,30,36,131,256,349,465,564,490,306
    └─ Receivables over 6m,30,30,23,38,113,120,182,,
    └─ Receivables under 6m,0,6,111,223,246,359,400,,
    └─ Prov for Doubtful,0,0,-2,-5,-11,-14,-18,,
  └─ Cash Equivalents,1,0,33,40,88,47,99,98,16
  └─ Loans n Advances,21,45,11,5,12,28,42,2,0
  └─ Other asset items,23,2,20,44,100,139,94,93,23
Total Assets,117,110,372,984,1475,2013,1949,1686,
