Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,0.05,22,22,22,22,22,22
Reserves,102,87,95,111,128,129,135
Borrowings,31,20,30,17,3,2,2
  └─ Long term Borrowings,5.54,0.76,0.00,2.59,1.91,1.17,0.78
  └─ Short term Borrowings,24.20,17.99,29.67,13.82,0.81,0.05,0.49
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.43
  └─ Other Borrowings,1.65,1.56,0.75,0.63,0.68,0.73,
Other Liabilities,13,15,20,21,12,14,17
  └─ Trade Payables,4.88,4.54,6.44,5.91,1.89,0.69,3.77
  └─ Advance from Customers,0.52,0.09,0.17,0.26,0.51,0.15,
  └─ Other liability items,7.33,10.38,13.35,14.88,10.10,13.19,13.58
Total Liabilities,147,144,168,171,166,168,176
Fixed Assets,25,22,20,22,20,18,17
  └─ Land,0.86,0.86,0.86,0.86,0.86,0.86,
  └─ Building,14.14,14.14,5.92,5.92,5.92,5.92,
  └─ Plant Machinery,46.00,46.00,13.64,13.92,13.94,13.25,
  └─ Equipments,0.13,0.14,0.03,0.03,0.03,0.02,
  └─ Computers,0.31,0.32,0.03,0.03,0.03,0.03,
  └─ Furniture n fittings,11.55,11.58,1.43,1.49,1.49,1.66,
  └─ Vehicles,3.23,3.23,0.53,4.54,5.05,4.89,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Other fixed assets,0.01,0.04,0.03,0.03,0.02,0.51,
  └─ Gross Block,76.23,76.31,22.47,26.82,27.34,27.14,
  └─ Accumulated Depreciation,51.09,54.03,2.15,4.64,7.41,9.35,
CWIP,0,0,0,0,0,0,0
Investments,48,53,57,62,68,70,72
Other Assets,74,69,91,87,77,80,87
  └─ Inventories,35.84,23.58,31.17,27.62,17.66,16.67,15.19
  └─ Trade receivables,12.27,13.96,26.94,33.04,27.92,38.44,30.92
  └─ Cash Equivalents,3.24,4.92,2.36,1.68,9.85,1.59,15.64
  └─ Loans n Advances,0.80,0.70,0.22,0.29,0.04,1.48,3.47
  └─ Other asset items,21.52,25.64,29.91,24.30,21.93,21.47,22.18
Total Assets,147,144,168,171,166,168,176
