Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,11,11,11,12,12,12,12,12,12,17,17,17,17
Reserves,776,745,787,763,757,762,748,713,675,186,213,226,211
Borrowings,353,320,290,144,138,125,114,126,141,0,334,330,353
  └─ Long term Borrowings,346,310,140,133,123,111,97,102,114,0,149,142,138
  └─ Short term Borrowings,5,5,13,5,5,2,0,24,27,0,185,188,215
  └─ Other Borrowings,2,5,137,7,10,12,17,0,0,0,0,0,
Other Liabilities,119,95,80,61,68,64,94,81,88,38,41,96,119
  └─ Non controlling int,41,24,11,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,27,33,32,21,12,13,17,10,9,5,7,10,15
  └─ Advance from Customers,4,3,3,4,5,4,26,2,3,3,3,4,
  └─ Other liability items,46,35,33,37,51,48,52,69,76,30,31,82,104
Total Liabilities,1260,1172,1168,981,974,963,968,931,916,241,605,669,701
Fixed Assets,910,875,848,837,809,783,731,716,710,179,178,179,181
  └─ Land,187,188,189,190,190,190,188,188,188,34,34,34,
  └─ Building,408,410,411,412,412,413,413,413,414,102,102,103,
  └─ Plant Machinery,239,231,243,228,229,227,221,224,227,63,65,68,
  └─ Equipments,2,2,0,2,2,2,2,2,3,0,0,0,
  └─ Furniture n fittings,76,76,77,75,77,77,77,78,81,19,19,20,
  └─ Vehicles,1,1,1,1,1,3,3,3,3,3,3,3,
  └─ Intangible Assets,106,106,106,126,126,126,100,100,100,62,62,62,62
  └─ Other fixed assets,4,4,4,5,5,5,5,6,6,1,1,1,
  └─ Gross Block,1022,1018,1031,1039,1041,1042,1010,1014,1023,283,285,290,
  └─ Accumulated Depreciation,112,143,183,202,233,259,279,298,312,104,108,111,
CWIP,4,2,2,0,2,2,2,4,5,3,3,3,13
Investments,244,196,213,96,78,106,95,95,91,0,0,3,0
Other Assets,102,99,106,47,86,72,139,116,110,60,424,484,506
  └─ Inventories,3,3,2,3,4,2,3,2,3,1,2,1,1
  └─ Trade receivables,11,8,12,11,15,18,13,8,12,6,6,7,5
    └─ Receivables over 6m,1.74,1.46,1.84,11.43,0.00,0.00,0.00,0.00,3.40,2.37,1.87,1.10,
    └─ Receivables under 6m,9.02,6.60,10.07,0.00,15.26,18.05,13.39,7.69,8.55,4.08,4.79,6.42,
    └─ Prov for Doubtful,-0.19,-0.29,-0.29,-0.16,-0.01,-0.15,-0.35,0.00,-0.29,-0.38,-0.55,-0.64,
  └─ Cash Equivalents,9,6,7,6,21,7,34,21,10,41,8,5,8
  └─ Loans n Advances,57,57,4,7,9,10,14,8,6,3,1,13,1
  └─ Other asset items,22,25,81,19,36,35,76,78,79,9,406,457,490
Total Assets,1260,1172,1168,981,974,963,968,931,916,241,605,669,701
