Metric,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016
Equity Capital,13,13,15,15,15
Reserves,342,378,553,604,662
Borrowings,52,46,42,529,408
  └─ Long term Borrowings,34,40,35,435,408
  └─ Short term Borrowings,14,1,2,52,0
  └─ Other Borrowings,4,6,4,42,
Other Liabilities,197,225,271,502,569
  └─ Non controlling int,19,20,22,24,28
  └─ Trade Payables,128,149,174,287,323
  └─ Advance from Customers,1,2,2,2,
  └─ Other liability items,49,55,73,189,218
Total Liabilities,604,662,880,1649,1654
Fixed Assets,243,232,275,755,459
  └─ Land,7.82,7.82,7.82,38.75,
  └─ Building,69.27,69.90,71.90,201.09,
  └─ Plant Machinery,419.06,439.78,499.22,991.79,
  └─ Equipments,2.87,3.63,3.76,8.78,
  └─ Computers,8.43,9.14,10.62,15.94,
  └─ Furniture n fittings,8.29,9.94,11.00,19.67,
  └─ Vehicles,1.99,1.91,2.14,4.14,
  └─ Intangible Assets,33.76,33.76,33.76,249.28,0.00
  └─ Other fixed assets,19.83,18.72,20.40,30.22,
  └─ Gross Block,571.32,594.60,660.62,1559.66,
  └─ Accumulated Depreciation,328.35,362.77,385.33,804.93,
CWIP,4,11,6,4,0
Investments,60,55,186,207,195
Other Assets,296,365,413,684,1000
  └─ Inventories,89,93,98,156,182
  └─ Trade receivables,159,209,246,419,463
  └─ Cash Equivalents,15,16,12,15,31
  └─ Loans n Advances,3,2,3,5,64
  └─ Other asset items,31,44,54,88,33
Total Assets,604,662,880,1649,1654
