Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,12,12,12,12,24
Reserves,8,19,24,31,43,55
Borrowings,27,38,70,112,147,134
  └─ Long term Borrowings,16,25,43,73,82,62
  └─ Short term Borrowings,11,12,27,39,65,72
  └─ Other Borrowings,-0,0,0,0,0,
Other Liabilities,6,8,29,31,49,66
  └─ Trade Payables,3.85,4.26,20.02,14.63,38.48,49.87
  └─ Advance from Customers,0.33,0.66,2.68,8.52,0.60,
  └─ Other liability items,2.22,2.70,6.64,7.89,10.29,16.43
Total Liabilities,50,76,136,186,251,279
Fixed Assets,25,27,46,91,118,118
  └─ Land,1.06,1.06,2.33,4.35,2.97,
  └─ Building,3.12,3.97,7.50,18.25,25.08,
  └─ Plant Machinery,23.06,24.85,40.99,73.14,97.94,
  └─ Equipments,0.26,0.23,0.42,3.02,3.44,
  └─ Computers,0.04,0.06,0.11,0.15,0.24,
  └─ Furniture n fittings,1.07,1.19,2.34,2.69,5.23,
  └─ Vehicles,0.33,0.41,0.41,0.81,1.26,
  └─ Intangible Assets,0.05,0.05,0.05,0.37,0.37,0.37
  └─ Other fixed assets,0.31,0.40,0.47,0.48,0.68,
  └─ Gross Block,29.30,32.22,54.62,103.26,137.21,
  └─ Accumulated Depreciation,3.85,5.70,8.77,12.29,19.58,
CWIP,2,4,24,20,11,24
Investments,0,0,0,0,6,3
Other Assets,22,45,66,75,117,134
  └─ Inventories,6,13,23,20,37,42
  └─ Trade receivables,10,12,19,25,57,56
    └─ Receivables over 6m,1,2,2,24,57,
    └─ Receivables under 6m,8,10,17,0,0,
  └─ Cash Equivalents,0,1,0,1,1,3
  └─ Loans n Advances,1,1,6,12,2,30
  └─ Other asset items,6,19,18,17,20,3
Total Assets,50,76,136,186,251,279
