Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,49,49,49,49,49,46,46,46,46,46,46,47
Reserves,774,842,876,916,920,753,736,703,1540,1394,1359,1384
Borrowings,0,0,0,0,11,28,20,257,28,81,81,394
  └─ Long term Borrowings,0,0,0,0,5,0,0,169,0,0,0,276
  └─ Short term Borrowings,0,0,0,0,6,10,4,64,3,49,53,50
  └─ Lease Liabilities,0,0,0,0,0,18,17,25,25,31,28,68
Other Liabilities,301,286,325,381,474,413,477,629,1103,923,1044,1069
  └─ Non controlling int,0,0,0,0,14,0,0,0,381,234,180,83
  └─ Trade Payables,146,194,220,273,324,299,356,379,441,386,522,581
  └─ Advance from Customers,8,6,17,7,11,8,13,32,50,24,48,
  └─ Other liability items,147,86,88,102,125,106,108,218,230,279,295,405
Total Liabilities,1124,1177,1250,1346,1454,1240,1280,1635,2718,2444,2531,2894
Fixed Assets,326,283,292,278,339,380,372,364,369,825,846,909
  └─ Land,24,23,24,24,24,46,24,20,20,27,27,
  └─ Building,106,75,78,81,85,99,99,93,100,134,140,
  └─ Plant Machinery,426,207,219,231,246,272,285,263,251,347,404,
  └─ Equipments,6,3,3,4,4,5,5,6,17,22,21,
  └─ Furniture n fittings,22,8,9,8,7,7,7,7,7,7,7,
  └─ Vehicles,3,1,1,1,1,2,1,1,1,2,2,
  └─ Intangible Assets,16,12,41,49,126,164,169,175,189,451,492,458
  └─ Other fixed assets,22,6,15,16,24,24,50,73,82,208,219,
  └─ Gross Block,624,334,389,413,516,618,639,639,666,1197,1313,
  └─ Accumulated Depreciation,298,51,97,135,177,237,267,275,298,373,467,
CWIP,8,24,15,28,72,69,75,82,83,63,43,30
Investments,293,362,411,506,420,3,1,16,123,157,121,67
Other Assets,497,507,532,535,624,788,832,1174,2143,1400,1521,1888
  └─ Inventories,106,108,129,109,134,194,175,193,215,276,336,314
  └─ Trade receivables,231,201,270,253,342,255,209,186,166,236,334,345
  └─ Cash Equivalents,36,21,13,33,45,190,280,100,541,314,202,564
  └─ Loans n Advances,1,9,14,10,-2,33,12,26,45,89,115,70
  └─ Other asset items,122,168,106,129,105,116,156,668,1175,484,534,596
Total Assets,1124,1177,1250,1346,1454,1240,1280,1635,2718,2444,2531,2894
