Metric,Mar 2010,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Reserves,7.20,7.20,7.34,7.42,7.45,7.58,7.71,7.79,7.93,8.01
Borrowing,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.81,0.34,0.35
Other Liabilities,0.01,0.50,0.73,1.10,0.91,1.05,0.86,0.42,0.41,0.41
  └─ Non controlling int,0.00,0.43,0.69,1.07,0.87,0.36,0.36,0.39,0.36,0.36
  └─ Trade Payables,0.01,0.02,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00
  └─ Advance from Customers,0.00,0.05,0.01,0.00,0.01,0.65,0.00,0.00,0.00,
  └─ Other liability items,0.00,0.00,0.03,0.03,0.03,0.04,0.03,0.03,0.05,0.05
Total Liabilities,10.71,11.20,11.57,12.02,12.22,12.13,12.07,12.52,12.18,12.27
Fixed Assets,0.00,0.10,0.25,0.18,0.11,0.19,0.18,0.14,0.14,0.14
  └─ Intangible Assets,0.00,0.10,0.25,0.18,0.11,0.18,0.18,0.14,0.14,0.14
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,
  └─ Gross Block,0.00,0.10,0.25,0.18,0.11,0.19,0.19,0.14,0.14,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,9.08,6.93,8.07,5.53,5.28,1.98,1.70,2.25,2.32,3.65
Other Assets,1.63,4.17,3.25,6.31,6.83,9.96,10.19,10.13,9.72,8.48
  └─ Inventories,0.00,0.00,0.00,0.28,0.02,0.43,1.37,1.59,1.45,0.00
  └─ Trade receivables,0.00,0.01,0.39,0.36,0.16,0.27,0.46,0.18,0.02,0.08
  └─ Cash Equivalents,0.23,0.23,0.36,0.27,0.19,0.53,0.68,1.25,0.04,0.04
  └─ Loans n Advances,1.09,0.64,2.09,3.61,5.39,6.83,0.37,0.10,0.09,8.31
  └─ Other asset items,0.31,3.29,0.41,1.79,1.07,1.90,7.31,7.01,8.12,0.05
Total Assets,10.71,11.20,11.57,12.02,12.22,12.13,12.07,12.52,12.18,12.27
