Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,34,42,42,42,42
Reserves,58,92,100,219,288,260,228
Borrowings,54,38,79,166,145,199,214
  └─ Long term Borrowings,0,0,11,19,52,52,47
  └─ Short term Borrowings,0,0,26,101,46,100,116
  └─ Lease Liabilities,0,0,42,45,46,47,50
  └─ Other Borrowings,54,38,0,0,-0,0,
Other Liabilities,11,22,23,35,47,56,56
  └─ Non controlling int,0.00,0.00,0.00,0.00,1.97,1.65,0.31
  └─ Trade Payables,7.87,16.50,18.75,16.19,38.66,46.14,41.72
  └─ Advance from Customers,0.14,0.02,0.19,0.49,0.26,0.33,
  └─ Other liability items,2.51,5.91,4.08,17.85,5.76,7.62,14.33
Total Liabilities,129,159,236,462,522,558,541
Fixed Assets,60,54,88,89,294,286,296
  └─ Building,20.74,20.99,21.24,29.36,140.04,143.45,
  └─ Plant Machinery,59.54,65.17,68.12,68.17,162.53,166.50,
  └─ Equipments,0.41,0.47,0.55,0.88,1.27,1.44,
  └─ Computers,0.18,0.19,0.24,0.34,0.51,0.59,
  └─ Furniture n fittings,3.97,3.98,3.98,4.02,11.43,12.20,
  └─ Vehicles,3.22,3.22,4.63,4.57,5.98,5.92,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.11
  └─ Other fixed assets,9.45,9.71,50.52,53.01,52.59,51.56,
  └─ Gross Block,97.51,103.73,149.28,160.35,374.35,381.66,
  └─ Accumulated Depreciation,37.43,50.23,61.08,71.55,80.11,95.40,
CWIP,0,1,7,124,0,0,0
Investments,0,0,11,6,0,0,0
Other Assets,69,104,131,244,227,271,245
  └─ Inventories,24,35,47,44,77,95,87
  └─ Trade receivables,28,40,39,44,110,128,96
    └─ Receivables over 6m,0,0,4,3,6,60,
    └─ Receivables under 6m,28,40,36,41,105,70,
    └─ Prov for Doubtful,-0,-0,-0,-0,-1,-2,
  └─ Cash Equivalents,1,7,3,114,5,7,11
  └─ Loans n Advances,3,3,13,4,4,9,4
  └─ Other asset items,12,20,29,39,31,33,46
Total Assets,129,159,236,462,522,558,541
