Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,17,19,20,20
Reserves,-0,1,15,56,71,137
Borrowings,1,20,7,5,3,6
  └─ Long term Borrowings,0.54,19.54,7.47,5.34,3.34,-0.00
  └─ Short term Borrowings,-0.00,-0.00,-0.00,-0.00,-0.00,5.61
  └─ Lease Liabilities,-0.00,-0.00,-0.00,-0.00,-0.00,0.70
Other Liabilities,4,8,20,15,45,142
  └─ Trade Payables,2,3,4,4,11,48
  └─ Other liability items,2,5,15,11,34,94
Total Liabilities,7,31,59,96,139,305
Fixed Assets,0,0,0,0,0,1
  └─ Equipments,0.00,0.00,0.00,0.00,0.01,
  └─ Computers,0.00,0.00,0.00,0.01,0.03,
  └─ Other fixed assets,0.00,0.01,0.01,0.01,0.00,
  └─ Gross Block,0.00,0.01,0.01,0.02,0.04,
  └─ Accumulated Depreciation,0.00,0.00,0.00,0.01,0.02,
CWIP,0,0,0,0,0,0
Investments,0,0,1,11,5,1
Other Assets,7,31,59,85,135,303
  └─ Inventories,1,21,52,58,116,146
  └─ Trade receivables,0,0,1,1,1,9
  └─ Cash Equivalents,1,1,3,6,2,5
  └─ Loans n Advances,0,0,1,0,1,2
  └─ Other asset items,6,8,1,19,15,141
Total Assets,7,31,59,96,139,305
