Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2024
Equity Capital,0.04,0.04,0.65,3,9,10,
Reserves,-0,-0,11,69,844,944,
Borrowings,1,3,4,178,8,2,
  └─ Long term Borrowings,1.37,2.68,4.44,177.87,1.15,1.14,177.87
  └─ Short term Borrowings,0.00,0.69,0.00,0.00,7.32,0.31,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.39,0.00
Other Liabilities,0,1,8,17,85,151,
  └─ Non controlling int,0,0,0,0,0,22,0
  └─ Trade Payables,0,1,2,14,45,85,14
  └─ Advance from Customers,0,0,0,0,6,,
  └─ Other liability items,0,0,5,2,34,44,2
Total Liabilities,1,4,24,266,947,1107,
Fixed Assets,1,3,8,10,349,519,
  └─ Plant Machinery,1,3,10,12,187,,
  └─ Equipments,0,0,0,0,1,,
  └─ Computers,0,0,0,0,3,,
  └─ Furniture n fittings,0,0,0,0,1,,
  └─ Vehicles,0,0,0,0,2,,
  └─ Intangible Assets,0,0,0,0,207,219,0
  └─ Other fixed assets,0,-0,0,0,1,,
  └─ Gross Block,1,3,10,13,401,,
  └─ Accumulated Depreciation,0,1,2,3,53,,
CWIP,0,0,0,0,17,0,
Investments,0,0,0,0,0,0,
Other Assets,1,1,16,257,582,588,
  └─ Inventories,0,0,0,4,11,30,4
  └─ Trade receivables,0,1,6,22,75,165,22
  └─ Cash Equivalents,0,0,1,5,23,15,5
  └─ Loans n Advances,0,0,0,0,2,18,222
  └─ Other asset items,0,0,8,226,472,361,4
Total Assets,1,4,24,266,947,1107,
