Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,4,4,11,11,12
Reserves,3,5,8,16,60,74,92
Borrowings,0,5,14,19,11,9,10
  └─ Short term Borrowings,0.00,0.00,8.79,14.16,7.72,7.14,9.65
  └─ Preference Capital,0.00,5.20,5.20,5.20,3.12,1.56,0.00
Other Liabilities,6,7,22,21,23,26,28
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,1.79
  └─ Trade Payables,3.32,4.09,13.70,14.09,10.74,18.41,13.70
  └─ Advance from Customers,0.24,0.02,0.14,0.68,3.35,1.13,
  └─ Other liability items,2.13,3.34,8.08,6.49,8.69,6.36,12.09
Total Liabilities,11,20,48,61,105,121,141
Fixed Assets,1,1,1,1,1,1,35
  └─ Building,0.10,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.00,0.00,0.00,0.14,0.00,0.00,
  └─ Equipments,0.43,0.42,0.45,0.40,0.47,0.46,
  └─ Computers,2.21,2.31,2.75,1.48,1.59,1.54,
  └─ Furniture n fittings,0.78,0.87,0.87,0.49,0.67,0.67,
  └─ Vehicles,0.48,0.48,0.48,0.50,0.30,0.30,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,34.38
  └─ Other fixed assets,0.08,0.10,0.09,0.08,0.09,0.09,
  └─ Gross Block,4.08,4.18,4.64,3.09,3.12,3.06,
  └─ Accumulated Depreciation,3.11,3.32,3.68,2.09,2.30,2.45,
CWIP,0,0,0,0,2,5,0
Investments,0,1,0,1,1,1,1
Other Assets,10,18,47,59,100,113,105
  └─ Inventories,2,1,4,4,2,6,6
  └─ Trade receivables,4,10,26,43,65,68,80
    └─ Receivables over 6m,3.82,0.17,7.78,0.00,28.82,30.86,
    └─ Receivables under 6m,0.00,10.20,18.13,42.64,35.94,37.47,
  └─ Cash Equivalents,2,1,6,6,24,28,8
  └─ Loans n Advances,0,0,0,2,0,1,3
  └─ Other asset items,2,5,11,5,10,10,8
Total Assets,11,20,48,61,105,121,141
