Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,32,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,751,880,962,1033,1036,1090,1308,1363,1365,1048,1058,1406,1543
Borrowing,0,0,0,0,1,0,1,1,1,1,1,1,1
Other Liabilities,21,16,15,33,12,9,53,59,49,45,35,56,55
  └─ Non controlling int,13,5,4,22,4,3,41,43,40,31,31,49,50
  └─ Trade Payables,0,0,0,1,0,0,0,0,0,0,0,0,0
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,8,11,11,11,8,6,12,16,10,14,4,7,4
Total Liabilities,804,928,1009,1099,1081,1132,1394,1455,1447,1126,1126,1494,1631
Fixed Assets,27,23,23,38,55,23,138,137,135,1,1,1,1
  └─ Land,1.05,1.05,1.05,15.29,32.51,0.95,1.09,1.09,0.23,0.23,0.23,0.23,
  └─ Building,5.74,5.73,5.73,5.73,5.73,4.53,4.53,2.90,2.90,2.31,2.29,2.29,
  └─ Plant Machinery,5.90,5.90,5.90,5.90,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,0.23,0.23,0.23,0.27,0.23,0.00,0.00,0.00,0.00,0.01,0.01,0.01,
  └─ Computers,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.28,0.32,0.29,0.39,0.29,0.00,0.01,0.01,0.01,0.00,0.00,0.00,
  └─ Vehicles,0.03,0.03,0.03,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,21.88,18.77,18.56,18.84,18.80,19.24,136.02,136.02,135.33,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.03,0.00,0.03,0.08,0.03,0.01,0.02,0.02,0.03,0.02,0.02,0.02,
  └─ Gross Block,35.14,32.03,31.82,46.65,63.52,24.73,141.67,140.04,138.50,2.57,2.55,2.55,
  └─ Accumulated Depreciation,8.42,9.34,8.71,8.87,8.98,1.96,3.25,3.00,3.06,1.44,1.48,1.53,
CWIP,0,1,0,12,0,0,0,0,0,0,0,0,0
Investments,733,835,863,851,967,1066,1142,1212,1257,1032,1032,1181,1391
Other Assets,44,69,123,198,59,43,114,106,54,93,93,311,239
  └─ Inventories,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade receivables,0,0,0,0,0,0,0,0,0,0,0,211,0
  └─ Cash Equivalents,4,6,1,9,2,0,1,1,1,0,50,65,0
  └─ Loans n Advances,6,18,13,27,10,10,22,54,19,18,13,13,12
  └─ Other asset items,34,45,109,162,47,33,90,51,34,75,31,22,227
Total Assets,804,928,1009,1099,1081,1132,1394,1455,1447,1126,1126,1494,1631
