Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2025
Equity Capital,2,7,7,7,
Reserves,8,48,60,73,
Borrowings,14,1,30,56,
  └─ Long term Borrowings,1.51,0.00,15.72,27.55,15.72
  └─ Short term Borrowings,12.89,1.37,14.70,28.80,14.70
  └─ Other Borrowings,0.00,0.00,-0.01,,
Other Liabilities,7,9,10,15,
  └─ Trade Payables,2.78,5.49,3.28,8.13,3.28
  └─ Advance from Customers,1.43,0.22,1.21,,
  └─ Other liability items,2.38,3.76,5.17,7.21,6.37
Total Liabilities,31,66,107,152,
Fixed Assets,3,5,18,21,
  └─ Land,0.00,0.65,0.65,,
  └─ Building,0.00,0.00,8.38,,
  └─ Plant Machinery,2.82,3.10,7.56,,
  └─ Computers,0.15,0.36,0.48,,
  └─ Furniture n fittings,0.15,0.21,0.28,,
  └─ Vehicles,1.52,1.70,3.80,,
  └─ Other fixed assets,-0.01,0.20,0.12,,
  └─ Gross Block,4.63,6.22,21.27,,
  └─ Accumulated Depreciation,1.30,1.72,2.77,,
CWIP,0,0,7,30,
Investments,0,10,0,0,
Other Assets,28,51,82,100,
  └─ Inventories,18,34,49,61,49
  └─ Trade receivables,7,11,16,19,16
    └─ Receivables over 6m,2.40,1.45,1.44,,
    └─ Receivables under 6m,4.80,9.05,14.56,,
  └─ Cash Equivalents,0,2,2,5,2
  └─ Loans n Advances,0,3,7,14,11
  └─ Other asset items,2,2,7,1,3
Total Assets,31,66,107,152,
