Metric,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2021
Equity Capital,445,16647,18902,18902,18902,19257,19257,
Reserves,654,452,3695,5974,8659,12977,17734,
Deposits,31808,240353,262214,260974,286121,311939,368191,
Borrowing,180,3672,3071,20804,30387,42228,51603,
Other Liabilities,2389,13106,11148,6785,7799,8308,16011,
  └─ Trade Payables,0,659,701,819,812,629,0,0
  └─ Other liability items,2389,12447,10447,5966,6988,7680,16011,73784
Total Liabilities,35477,274229,299030,313438,351869,394708,472795,
Fixed Assets,387,2918,3366,3711,3726,4581,5075,
  └─ Building,0.00,3973.50,4491.31,4571.96,4576.16,5500.73,,
  └─ Other fixed assets,386.76,2125.86,2216.22,2717.10,2969.72,3193.81,,
  └─ Gross Block,386.76,6099.36,6707.53,7289.06,7545.88,8694.54,,
  └─ Accumulated Depreciation,0.00,3181.50,3341.61,3578.41,3820.17,4113.96,,
CWIP,0,1,0,0,14,74,0,
Investments,15015,95485,97641,93643,99194,110588,119285,
Other Assets,20075,175825,198023,216085,248935,279465,348436,
  └─ Cash Equivalents,2213,11229,21596,16025,15642,16881,16606,11108
  └─ Loans n Advances,0,3452,4131,4523,5451,2316,306622,134909
  └─ Other asset items,17863,161144,172297,195537,227843,260269,25208,108469
Total Assets,35477,274229,299030,313438,351869,394708,472795,
