Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,11,11,11,11,11,11
Reserves,40,54,69,111,210,161
Borrowings,409,514,610,700,400,225
  └─ Long term Borrowings,0,48,70,124,140,119
  └─ Short term Borrowings,409,366,484,516,207,106
  └─ Other Borrowings,,100,56,61,53,
Other Liabilities,423,252,203,342,296,232
  └─ Trade Payables,206,171,115,224,150,35
  └─ Advance from Customers,,6,8,5,4,
  └─ Other liability items,217,75,79,112,142,197
Total Liabilities,883,831,893,1164,916,630
Fixed Assets,152,137,128,119,224,250
  └─ Land,,5.81,5.81,5.81,5.81,
  └─ Building,,35.38,35.22,35.23,38.37,
  └─ Plant Machinery,,450.18,452.08,452.00,567.24,
  └─ Equipments,,4.95,5.12,5.34,5.60,
  └─ Vehicles,,9.55,9.81,10.15,14.46,
  └─ Intangible Assets,0.18,0.00,0.00,0.00,0.00,0.09
  └─ Other fixed assets,,2.35,2.36,2.37,2.45,
  └─ Gross Block,,508.22,510.40,510.90,633.93,
  └─ Accumulated Depreciation,,370.81,381.96,392.13,410.21,
CWIP,0,1,3,112,38,33
Investments,4,4,4,4,4,4
Other Assets,726,689,759,929,651,343
  └─ Inventories,657,588,635,769,365,109
  └─ Trade receivables,28,12,49,89,187,86
  └─ Cash Equivalents,3,11,7,8,18,42
  └─ Loans n Advances,1,20,16,0,1,0
  └─ Other asset items,37,58,51,63,80,107
Total Assets,883,831,893,1164,916,630
