Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,3,8,8,8,8,8
Reserves,1,5,11,14,17,21,24
Borrowings,6,8,10,9,9,10,20
  └─ Long term Borrowings,5.29,3.57,3.88,4.40,2.09,1.62,7.93
  └─ Short term Borrowings,0.00,3.12,6.26,4.55,7.31,8.29,11.80
  └─ Other Borrowings,0.25,1.15,0.00,-0.01,0.00,0.00,
Other Liabilities,10,12,13,18,18,19,28
  └─ Non controlling int,1.54,0.86,0.99,1.33,1.46,2.08,2.52
  └─ Trade Payables,7.34,9.88,11.19,14.79,14.84,14.13,23.28
  └─ Advance from Customers,0.05,0.03,0.17,0.19,0.07,0.04,
  └─ Other liability items,1.32,1.07,1.13,1.38,2.03,2.32,2.66
Total Liabilities,19,28,42,48,53,57,80
Fixed Assets,5,11,11,14,15,16,17
  └─ Land,0.43,0.43,0.43,0.43,0.72,0.72,
  └─ Building,1.04,1.79,1.70,1.89,3.36,3.82,
  └─ Plant Machinery,2.71,7.60,7.67,10.60,10.69,12.96,
  └─ Equipments,0.25,0.27,0.29,0.64,0.76,0.83,
  └─ Computers,0.02,0.05,0.06,0.09,0.10,0.13,
  └─ Furniture n fittings,0.19,0.22,0.22,0.28,0.40,0.41,
  └─ Vehicles,0.74,0.84,1.06,1.30,1.44,1.63,
  └─ Intangible Assets,0.02,0.02,0.02,0.02,0.02,0.02,0.01
  └─ Other fixed assets,0.05,0.06,0.07,0.07,0.21,0.23,
  └─ Gross Block,5.45,11.28,11.52,15.32,17.70,20.75,
  └─ Accumulated Depreciation,0.23,0.76,0.85,1.69,2.98,4.50,
CWIP,5,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets,9,17,31,35,38,41,63
  └─ Inventories,2.82,7.27,9.60,8.45,7.56,8.08,15.85
  └─ Trade receivables,5.08,6.92,9.93,13.79,17.51,17.24,20.06
    └─ Receivables over 6m,0.08,0.13,0.13,0.16,17.51,17.24,
    └─ Receivables under 6m,5.00,6.79,9.80,13.62,0.00,0.00,
  └─ Cash Equivalents,0.30,1.49,9.44,9.93,9.15,10.56,7.18
  └─ Loans n Advances,0.36,0.91,0.93,0.48,0.69,4.24,19.83
  └─ Other asset items,0.73,0.68,1.42,1.93,2.83,0.53,0.14
Total Assets,19,28,42,48,53,57,80
