Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Sep 2021
Equity Capital,60,60,60,60,60,60,60,60,60,60,60,60,60,
Reserves,2103,1642,1154,1033,1013,527,72,-544,-1232,-2130,-3412,-986,-997,
Borrowings,1580,1339,1746,1719,1608,1705,1743,1702,2561,2842,3261,19,19,
  └─ Long term Borrowings,,188.85,716.21,558.81,408.25,32.66,30.42,27.88,21.84,12.13,0.00,0.00,0.00,34.25
  └─ Short term Borrowings,,1002.59,934.37,1013.07,1045.17,1292.97,1478.50,1571.95,2538.69,2829.77,3261.01,19.22,19.44,1677.13
  └─ Other Borrowings,,148.03,95.52,147.49,154.80,379.13,233.95,102.04,-0.01,0.00,-0.01,-0.01,,
Other Liabilities,1199,1250,2247,1483,2010,1437,2163,1465,1369,1170,1471,1388,1313,
  └─ Non controlling int,,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,,1012,1655,947,1463,749,1311,436,988,1046,1359,1291,1230,715
  └─ Other liability items,,237,592,535,548,688,852,1029,381,124,112,97,82,1139
Total Liabilities,4942,4291,5207,4295,4692,3728,4037,2682,2757,1942,1380,481,395,
Fixed Assets,3022,2866,2782,2658,2578,2480,2398,2188,2106,1353,670,0,0,
  └─ Land,,1162.52,1162.27,1159.95,1160.28,1160.28,1160.28,1160.28,1160.28,1160.28,1137.23,0.00,,
  └─ Building,,156.69,129.73,129.98,130.06,130.06,130.06,130.06,130.06,130.06,130.06,0.00,,
  └─ Plant Machinery,,2021.91,1541.43,1497.20,1507.24,1512.04,1487.84,1498.99,1499.04,1499.23,1499.49,0.00,,
  └─ Equipments,,0.00,9.57,0.00,0.00,0.00,0.00,0.00,13.11,13.72,14.58,0.00,,
  └─ Furniture n fittings,,18.77,0.00,14.63,16.13,16.38,13.79,13.89,1.08,1.08,1.05,0.00,,
  └─ Railway sidings,,9.33,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.00,,
  └─ Vehicles,,4.19,1.68,1.99,1.98,1.55,0.92,0.89,0.89,0.89,0.85,0.00,,
  └─ Intangible Assets,,57.07,29.97,29.48,29.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,,-0.01,-0.01,-0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.01,0.00,,
  └─ Gross Block,,3430.47,2875.11,2833.69,2845.64,2820.77,2793.36,2804.58,2804.92,2805.73,2783.72,0.00,,
  └─ Accumulated Depreciation,,564.34,92.66,176.11,267.19,340.31,395.02,616.71,698.73,1453.16,2113.80,0.00,,
CWIP,30,3,7,8,22,28,28,4,0,0,0,0,0,
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other Assets,1890,1422,2418,1629,2091,1220,1610,490,651,589,710,481,395,
  └─ Inventories,,165,228,212,145,103,105,48,46,72,65,14,0,57
  └─ Trade receivables,,1070,1990,1192,1698,832,1226,199,485,397,439,238,235,348
    └─ Receivables over 6m,227,1079,0,0,0,0,0,0,117,86,101,274,,
    └─ Receivables under 6m,1106,0,2000,1211,1724,863,1274,259,447,381,415,0,,
    └─ Prov for Doubtful,-3,-8,-10,-19,-26,-31,-47,-60,-79,-69,-77,-36,,
  └─ Cash Equivalents,,78,94,114,72,146,139,105,44,40,30,78,6,35
  └─ Loans n Advances,,12,20,16,18,8,9,1,8,6,3,-3,3,23
  └─ Other asset items,,96,86,94,158,131,131,137,68,74,172,155,150,92
Total Assets,4942,4291,5207,4295,4692,3728,4037,2682,2757,1942,1380,481,395,
