Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,9,9,10
Reserves,108,136,178,221,275,439
Borrowings,55,78,90,112,225,152
  └─ Long term Borrowings,0,0,0,24,69,22
  └─ Short term Borrowings,55,77,89,87,154,128
  └─ Lease Liabilities,0,1,1,1,2,2
  └─ Other Borrowings,0,0,0,0,0,
Other Liabilities,20,23,26,26,26,40
  └─ Trade Payables,15.67,17.48,21.14,18.91,23.23,19.21
  └─ Advance from Customers,0.43,0.29,0.62,2.91,0.07,
  └─ Other liability items,4.25,5.62,4.26,4.29,2.39,20.89
Total Liabilities,186,240,296,369,535,642
Fixed Assets,24,36,36,50,54,253
  └─ Land,3.91,12.52,12.52,12.52,12.52,
  └─ Building,8.73,8.21,8.68,18.44,22.98,
  └─ Plant Machinery,20.16,16.54,19.58,26.98,29.59,
  └─ Equipments,1.50,0.70,1.22,2.39,2.86,
  └─ Computers,0.43,0.35,0.46,0.53,0.69,
  └─ Furniture n fittings,1.84,0.68,0.68,2.02,3.18,
  └─ Vehicles,2.14,1.00,1.34,1.56,3.07,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.29
  └─ Other fixed assets,0.17,0.08,0.14,0.18,0.28,
  └─ Gross Block,38.88,40.08,44.62,64.62,75.17,
  └─ Accumulated Depreciation,14.74,4.33,8.83,15.02,20.73,
CWIP,2,1,11,30,126,6
Investments,0,0,0,0,0,0
Other Assets,160,203,249,289,355,382
  └─ Inventories,82,134,143,174,166,234
  └─ Trade receivables,53,40,80,45,141,77
  └─ Cash Equivalents,8,6,11,16,2,16
  └─ Loans n Advances,1,5,6,13,12,4
  └─ Other asset items,16,17,10,39,33,52
Total Assets,186,240,296,369,535,642
