Metric,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2022
Equity Capital,85,85,85,85,85,85,85,85,85,85,
Reserves,1356,1365,1377,2087,2149,2630,3055,3383,3735,4181,
Borrowings,1445,1282,1199,108,7,24,22,21,42,79,
  └─ Long term Borrowings,990,776,417,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,100,150,240,8,0,0,0,0,0,0,0
  └─ Lease Liabilities,0,0,0,0,7,24,22,21,42,79,23
  └─ Other Borrowings,356,356,543,100,-0,-0,0,0,-0,,
Other Liabilities,722,680,759,970,1045,1277,1238,1316,1280,1463,
  └─ Trade Payables,302,261,315,374,452,588,539,624,542,575,640
  └─ Advance from Customers,149,137,105,94,87,163,230,242,177,,
  └─ Other liability items,271,282,339,501,507,527,469,449,562,888,692
Total Liabilities,3608,3412,3420,3250,3286,4017,4400,4805,5143,5808,
Fixed Assets,2573,2498,2162,2035,1989,1869,1762,1822,1925,2093,
  └─ Land,19.79,19.79,21.56,21.23,38.36,36.47,36.48,36.48,77.95,,
  └─ Building,99.22,101.71,92.90,93.03,101.16,103.46,105.55,133.77,148.29,,
  └─ Plant Machinery,2613.69,2739.19,2548.19,2586.43,2677.38,2711.00,2809.83,3029.32,3274.58,,
  └─ Equipments,15.38,16.25,18.65,18.29,16.68,16.60,19.73,21.64,22.03,,
  └─ Furniture n fittings,5.16,5.14,4.60,4.74,4.58,4.27,4.24,4.51,6.06,,
  └─ Vehicles,0.79,1.22,1.21,2.00,4.89,6.38,20.19,22.77,27.47,,
  └─ Intangible Assets,4.68,4.68,0.00,0.00,0.00,8.93,8.93,8.93,8.93,19.78,20.45
  └─ Other fixed assets,3.15,3.16,2.86,2.22,3.34,15.27,15.52,15.66,16.01,,
  └─ Gross Block,2761.86,2891.14,2689.97,2727.94,2846.39,2902.38,3020.47,3273.08,3581.32,,
  └─ Accumulated Depreciation,189.12,393.58,528.42,692.80,857.20,1033.83,1258.03,1451.54,1656.13,,
CWIP,80,36,44,53,17,68,225,483,975,1343,
Investments,61,58,0,0,4,9,32,50,58,82,
Other Assets,895,821,1214,1162,1276,2071,2380,2450,2185,2291,
  └─ Inventories,69,68,71,65,69,69,77,85,107,123,80
  └─ Trade receivables,357,353,365,383,407,423,401,481,385,508,505
    └─ Receivables over 6m,0,0,0,0,0,0,36,49,68,,
    └─ Receivables under 6m,381,378,392,410,440,446,382,453,346,,
    └─ Prov for Doubtful,-24,-26,-28,-27,-33,-23,-17,-20,-29,,
  └─ Cash Equivalents,106,39,125,241,326,988,1191,980,147,112,1245
  └─ Loans n Advances,42,49,55,39,38,128,97,110,44,57,12
  └─ Other asset items,320,312,598,433,437,462,613,794,1502,1491,547
Total Assets,3608,3412,3420,3250,3286,4017,4400,4805,5143,5808,
