Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,168,168,133,258,258,237,237
Reserves,3212,3284,2672,2537,2825,2526,2468
Borrowings,0,0,0,0,0,0,0
Other Liabilities,273,281,285,442,522,534,560
  └─ Trade Payables,4,25,42,52,44,41,34
  └─ Advance from Customers,7,11,19,23,17,30,
  └─ Other liability items,263,245,224,367,462,463,526
Total Liabilities,3653,3733,3090,3236,3605,3298,3266
Fixed Assets,299,316,326,348,430,587,585
  └─ Land,40.81,18.29,12.77,14.48,19.47,24.50,
  └─ Building,140.78,164.95,177.85,228.06,294.95,337.28,
  └─ Plant Machinery,415.76,450.12,481.27,503.34,568.60,760.90,
  └─ Equipments,5.24,6.06,6.15,6.51,8.56,9.84,
  └─ Furniture n fittings,4.11,3.98,4.54,4.55,5.05,5.70,
  └─ Vehicles,10.16,11.01,12.01,12.43,12.94,13.07,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,8.03
  └─ Other fixed assets,-0.01,23.60,39.97,41.10,42.50,39.60,
  └─ Gross Block,616.85,678.01,734.56,810.47,952.07,1190.89,
  └─ Accumulated Depreciation,317.88,362.25,408.36,462.70,521.71,603.55,
CWIP,54,82,116,238,297,242,257
Investments,0,0,0,23,115,7,194
Other Assets,3300,3335,2648,2627,2763,2461,2230
  └─ Inventories,144,163,122,97,103,178,126
  └─ Trade receivables,107,142,241,190,132,134,165
  └─ Cash Equivalents,2831,2851,2091,2139,2262,1828,1675
  └─ Loans n Advances,20,16,17,46,59,101,30
  └─ Other asset items,197,163,177,154,207,220,233
Total Assets,3653,3733,3090,3236,3605,3298,3266
