Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,68,68,54,61,61,61,61,61,62,62,62,63,
Reserves,305,211,225,216,224,163,177,186,170,184,150,172,
Borrowings,15,53,6,34,57,26,34,54,84,26,79,84,
  └─ Long term Borrowings,0,0,0,12,13,0,0,0,0,0,0,0,
  └─ Short term Borrowings,14,53,6,21,45,25,33,54,84,26,77,82,
  └─ Lease Liabilities,0,0,0,0,0,1,1,0,0,0,2,2,
  └─ Other Borrowings,0,0,0,-0,0,-0,0,0,0,0,0,,
Other Liabilities,454,320,262,131,187,168,260,399,392,378,421,488,
  └─ Non controlling int,33,35,-8,13,15,9,4,6,1,2,4,2,
  └─ Trade Payables,332,220,39,51,76,68,58,70,53,14,17,15,
  └─ Advance from Customers,18,17,28,23,55,0,159,266,3,3,1,,
  └─ Other liability items,71,49,203,43,40,90,39,57,335,359,399,471,
Total Liabilities,842,652,547,442,529,418,531,700,708,649,713,806,
Fixed Assets,192,127,155,132,127,124,106,104,85,71,81,78,
  └─ Land,9,7,7,4,4,4,4,4,7,3,5,,
  └─ Building,121,36,33,27,28,30,30,31,28,25,25,,
  └─ Plant Machinery,11,4,4,4,4,4,4,4,4,4,4,,
  └─ Equipments,18,5,4,4,4,4,4,3,3,2,2,,
  └─ Computers,77,28,32,47,44,47,47,48,48,37,40,,
  └─ Furniture n fittings,16,6,4,4,4,4,4,3,3,3,3,,
  └─ Vehicles,3,2,2,2,2,2,2,2,2,1,5,,
  └─ Intangible Assets,58,54,53,56,57,58,58,62,64,47,47,53,
  └─ Other fixed assets,59,10,62,43,56,68,72,82,96,40,47,,
  └─ Gross Block,372,152,201,192,203,220,225,239,255,162,179,,
  └─ Accumulated Depreciation,180,25,46,60,76,96,118,135,170,92,98,,
CWIP,10,1,9,8,4,4,5,4,2,6,1,16,
Investments,73,84,10,18,22,6,1,0,0,38,0,0,
Other Assets,568,440,372,284,376,284,419,592,620,534,631,712,
  └─ Inventories,114,55,2,0,0,1,5,3,5,2,1,0,
  └─ Trade receivables,131,103,54,37,74,46,56,71,34,22,27,29,
    └─ Receivables over 6m,28.51,0.00,0.00,0.00,0.00,0.00,0.00,32.50,32.10,29.99,18.70,,25.07
    └─ Receivables under 6m,107.34,109.83,65.61,51.93,91.03,108.66,86.82,67.44,32.51,24.66,26.28,,113.98
    └─ Prov for Doubtful,-5.11,-6.81,-11.69,-15.04,-17.11,-62.32,-30.80,-28.78,-30.68,-33.06,-17.56,,-8.80
  └─ Cash Equivalents,137,127,75,83,69,82,215,353,383,375,384,340,
  └─ Loans n Advances,65,9,6,3,12,12,14,12,41,24,44,56,
  └─ Other asset items,121,146,235,161,221,143,130,154,157,111,174,286,
Total Assets,842,652,547,442,529,418,531,700,708,649,713,806,
