Metric,Mar 2024,Mar 2025,Sep 2025
Equity Capital,6,214,214
Reserves,3,482,494
Borrowings,1,3,3
  └─ Long term Borrowings,1.47,3.06,3.03
Other Liabilities,37,124,80
  └─ Non controlling int,0.00,11.91,13.51
  └─ Trade Payables,35.29,93.69,49.94
  └─ Other liability items,1.32,18.30,16.84
Total Liabilities,48,823,792
Fixed Assets,0,647,647
  └─ Intangible Assets,0,647,647
CWIP,0,0,0
Investments,3,3,3
Other Assets,45,173,142
  └─ Inventories,1,35,31
  └─ Trade receivables,38,131,105
  └─ Cash Equivalents,0,1,0
  └─ Loans n Advances,5,5,5
  └─ Other asset items,0,1,1
Total Assets,48,823,792
