Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,32,32,32,35,37,39,41,42
Reserves,113,134,278,287,249,255,338,523,706,737
Borrowings,74,91,169,222,208,197,242,191,171,212
  └─ Long term Borrowings,41,70,96,145,123,111,160,99,35,31
  └─ Short term Borrowings,20,5,53,54,85,86,83,92,136,181
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,13,16,20,23,0,0,0,0,0,
Other Liabilities,90,115,207,215,222,212,294,421,425,475
  └─ Non controlling int,0,0,0,0,0,0,0,31,40,41
  └─ Trade Payables,22,29,64,87,89,69,110,165,155,198
  └─ Advance from Customers,2,3,6,8,4,7,9,4,5,
  └─ Other liability items,67,83,137,120,128,136,175,221,226,236
Total Liabilities,305,366,687,757,712,699,912,1174,1343,1465
Fixed Assets,68,78,207,272,414,406,391,505,622,674
  └─ Land,9.09,9.37,11.88,19.80,20.13,21.47,22.72,23.58,23.58,
  └─ Building,16.34,17.17,58.79,73.32,101.58,103.52,103.59,128.28,144.01,
  └─ Plant Machinery,81.00,86.19,178.56,231.37,358.26,362.86,363.65,472.07,592.76,
  └─ Equipments,0.77,1.01,1.52,1.97,2.39,2.43,2.57,2.86,3.18,
  └─ Furniture n fittings,0.42,0.79,0.84,0.95,0.95,0.95,0.95,1.29,2.07,
  └─ Vehicles,5.00,10.64,10.69,10.92,10.92,10.46,10.46,10.60,13.75,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
  └─ Other fixed assets,0.00,1.13,1.14,1.42,1.43,1.48,1.48,1.51,1.55,
  └─ Gross Block,112.62,126.30,263.42,339.75,495.66,503.17,505.42,640.19,780.90,
  └─ Accumulated Depreciation,44.87,48.32,56.56,68.03,81.39,97.32,114.33,135.57,158.66,
CWIP,21,94,150,142,2,0,97,68,23,246
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,216,194,330,343,295,294,424,601,698,545
  └─ Inventories,24,29,95,104,68,85,135,182,189,182
  └─ Trade receivables,49,70,119,130,132,116,142,242,254,175
    └─ Receivables over 6m,1,1,3,5,4,4,6,10,10,
    └─ Receivables under 6m,48,68,116,125,128,112,136,232,244,
  └─ Cash Equivalents,31,26,25,22,14,9,13,13,20,17
  └─ Loans n Advances,54,28,40,47,55,56,96,118,187,67
  └─ Other asset items,57,42,51,40,26,28,37,46,48,103
Total Assets,305,366,687,757,712,699,912,1174,1343,1465
