Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,16,16,16,16,16,16,16,16
Reserves,34,35,35,36,36,37,39,40
Borrowings,36,61,4,11,6,19,27,14
  └─ Long term Borrowings,1.48,0.16,0.21,0.23,4.72,4.26,0.21,0.15
  └─ Short term Borrowings,34.39,60.28,3.85,10.60,1.04,14.78,26.63,14.04
  └─ Other Borrowings,0.00,0.11,0.13,0.08,0.00,0.01,0.00,
Other Liabilities,5,2,6,29,78,49,81,72
  └─ Non controlling int,0,0,1,1,1,1,1,0
  └─ Trade Payables,0,0,0,27,75,46,76,71
  └─ Advance from Customers,4,0,4,0,0,0,2,
  └─ Other liability items,1,1,0,1,2,1,2,1
Total Liabilities,91,113,61,92,136,122,163,142
Fixed Assets,10,9,8,8,8,12,11,6
  └─ Land,3.11,1.63,1.63,1.63,1.63,1.63,1.63,
  └─ Building,0.47,0.48,0.48,0.48,0.48,4.45,4.60,
  └─ Plant Machinery,4.24,0.12,0.20,0.07,0.01,0.01,0.01,
  └─ Equipments,2.45,6.81,6.26,7.12,0.03,0.02,0.02,
  └─ Computers,0.07,0.08,0.08,0.03,0.05,0.05,0.05,
  └─ Furniture n fittings,0.41,0.41,0.41,0.41,0.43,0.45,0.45,
  └─ Vehicles,0.67,0.80,1.19,1.24,1.64,1.76,1.60,
  └─ Other fixed assets,0.00,-0.02,-0.01,-0.01,6.56,6.57,6.58,
  └─ Gross Block,11.42,10.31,10.24,10.97,10.83,14.94,14.94,
  └─ Accumulated Depreciation,1.26,1.70,2.21,2.49,2.63,3.23,3.74,
CWIP,0,2,3,4,4,0,0,0
Investments,4,3,4,4,5,10,3,9
Other Assets,77,100,46,75,119,99,149,128
  └─ Inventories,18.06,29.02,0.55,17.28,27.34,26.94,96.05,24.99
  └─ Trade receivables,9.03,10.18,3.81,17.22,20.27,26.23,27.14,33.29
    └─ Receivables over 6m,0.00,0.82,3.34,0.00,20.27,26.23,27.14,
    └─ Receivables under 6m,9.03,9.36,0.47,17.22,0.00,0.00,0.00,
  └─ Cash Equivalents,22.92,32.95,9.89,7.86,31.57,21.63,18.70,30.39
  └─ Loans n Advances,0.72,0.01,0.01,0.00,33.27,17.94,2.94,37.97
  └─ Other asset items,26.21,27.85,31.37,32.93,6.23,6.72,4.26,1.29
Total Assets,91,113,61,92,136,122,163,142
