Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,53,79,79,79
Reserves,145,830,870,933
Borrowings,356,192,301,172
  └─ Long term Borrowings,100,75,148,78
  └─ Short term Borrowings,215,59,96,28
  └─ Lease Liabilities,42,59,57,66
Other Liabilities,551,502,443,458
  └─ Trade Payables,285,309,250,273
  └─ Advance from Customers,202,98,99,
  └─ Other liability items,63,95,94,185
Total Liabilities,1105,1603,1694,1642
Fixed Assets,161,192,346,355
  └─ Land,34,32,29,
  └─ Building,91,109,115,
  └─ Plant Machinery,78,97,135,
  └─ Equipments,19,23,29,
  └─ Computers,11,16,20,
  └─ Furniture n fittings,19,22,29,
  └─ Vehicles,0,0,0,
  └─ Intangible Assets,3,3,68,126
  └─ Other fixed assets,12,14,71,
  └─ Gross Block,267,316,497,
  └─ Accumulated Depreciation,106,124,151,
CWIP,1,1,6,2
Investments,90,66,31,30
Other Assets,853,1344,1311,1255
  └─ Inventories,425,464,571,647
  └─ Trade receivables,162,226,347,307
    └─ Receivables over 6m,0,18,48,
    └─ Receivables under 6m,170,221,322,
    └─ Prov for Doubtful,-8,-13,-22,
  └─ Cash Equivalents,168,537,288,126
  └─ Loans n Advances,38,41,30,7
  └─ Other asset items,61,76,75,168
Total Assets,1105,1603,1694,1642
