Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,522,568,625,676,723,794,856,976,1108,1267,1451,1644
Borrowings,24,1,7,13,43,60,62,3,3,3,3,5
  └─ Short term Borrowings,24.38,1.30,6.99,12.63,43.43,60.00,60.00,0.00,0.00,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,1.58,2.99,2.88,3.23,3.44,5.20
  └─ Other Borrowings,0.00,0.00,-0.01,0.01,-0.01,0.00,-0.01,0.00,0.00,0.01,0.00,0.00
Other Liabilities,332,347,321,354,449,547,588,596,679,761,859,1109
  └─ Trade Payables,154,155,151,178,218,242,263,279,314,343,372,441
  └─ Advance from Customers,59,53,46,50,94,140,139,124,191,205,245,369
  └─ Other liability items,119,139,124,126,137,165,186,193,173,212,242,298
Total Liabilities,914,951,988,1077,1250,1436,1540,1609,1825,2066,2348,2793
Fixed Assets,191,194,219,308,321,307,318,311,350,419,438,462
  └─ Land,2,2,27,27,27,27,27,27,27,27,33,33
  └─ Building,68,78,86,146,169,177,201,206,235,268,281,298
  └─ Plant Machinery,319,330,347,396,413,428,443,460,505,534,572,617
  └─ Equipments,9,10,11,13,15,17,17,17,21,34,36,39
  └─ Furniture n fittings,9,10,10,11,12,13,13,14,14,20,20,21
  └─ Vehicles,5,5,5,7,7,7,7,6,7,9,11,12
  └─ Intangible Assets,6,6,6,6,8,6,6,-0,-0,18,18,18
  └─ Other fixed assets,4,4,6,7,6,9,10,11,12,14,15,17
  └─ Gross Block,422,446,498,611,657,684,723,741,822,924,987,1057
  └─ Accumulated Depreciation,231,252,280,303,336,377,405,431,471,505,549,595
CWIP,10,14,16,4,4,34,25,39,25,32,55,92
Investments,50,51,54,58,60,64,66,70,74,80,88,97
Other Assets,663,691,699,707,865,1030,1130,1190,1375,1535,1767,2143
  └─ Inventories,202,183,212,248,303,325,361,423,561,643,643,786
  └─ Trade receivables,179,178,163,255,291,296,267,278,404,492,650,869
    └─ Receivables over 6m,35,35,0,0,0,0,0,0,67,41,100,194
    └─ Receivables under 6m,156,161,181,297,334,314,292,303,358,470,572,698
    └─ Prov for Doubtful,-12,-17,-18,-42,-43,-17,-26,-25,-21,-20,-22,-22
  └─ Cash Equivalents,179,228,202,91,139,290,403,355,261,275,323,283
  └─ Loans n Advances,10,10,19,3,1,4,1,0,2,1,5,5
  └─ Other asset items,93,91,103,110,132,115,98,134,148,125,146,199
Total Assets,914,951,988,1077,1250,1436,1540,1609,1825,2066,2348,2793
