Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,24,24
Reserves,65,71,79,96,118,205,250
Borrowings,57,65,53,42,49,70,76
  └─ Long term Borrowings,17.95,23.04,18.71,17.60,15.96,25.09,30.98
  └─ Short term Borrowings,33.96,33.48,34.69,24.03,33.51,44.86,45.43
  └─ Other Borrowings,5.21,8.43,0.00,0.01,0.00,0.00,
Other Liabilities,77,49,63,51,63,74,108
  └─ Non controlling int,0,0,0,0,0,0,0
  └─ Trade Payables,46,24,25,14,22,29,36
  └─ Advance from Customers,0,0,6,8,4,2,
  └─ Other liability items,32,25,32,28,37,42,72
Total Liabilities,208,194,203,197,239,373,458
Fixed Assets,44,49,54,47,55,71,99
  └─ Land,5.63,11.16,17.62,14.67,17.12,17.27,
  └─ Building,11.71,11.71,11.71,11.71,13.05,15.16,
  └─ Plant Machinery,48.64,46.14,45.51,44.95,49.71,53.97,
  └─ Equipments,0.60,0.61,0.87,0.93,0.63,0.62,
  └─ Computers,0.40,0.62,0.48,0.48,0.24,0.29,
  └─ Furniture n fittings,1.34,1.34,1.48,1.48,1.18,1.04,
  └─ Vehicles,21.11,22.68,24.74,23.68,26.72,39.07,
  └─ Other fixed assets,0.46,0.29,0.11,0.11,0.11,0.11,
  └─ Gross Block,89.89,94.55,102.52,98.01,108.76,127.53,
  └─ Accumulated Depreciation,46.15,45.34,48.91,51.06,53.48,56.27,
CWIP,9,7,0,0,0,0,2
Investments,0,0,0,3,6,5,4
Other Assets,155,138,150,147,178,296,352
  └─ Inventories,56,46,53,57,60,98,150
  └─ Trade receivables,40,26,27,21,29,38,51
    └─ Receivables over 6m,0.00,0.00,8.13,13.10,13.68,12.91,
    └─ Receivables under 6m,40.76,26.61,19.26,9.48,16.78,26.97,
    └─ Prov for Doubtful,-0.52,-0.66,-0.88,-1.70,-1.87,-2.05,
  └─ Cash Equivalents,14,14,23,29,29,66,30
  └─ Loans n Advances,3,7,3,2,2,3,85
  └─ Other asset items,42,45,44,38,58,92,37
Total Assets,208,194,203,197,239,373,458
