Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,28,29
Reserves,124,159,294,336
Borrowings,207,260,316,474
  └─ Long term Borrowings,17,49,83,99
  └─ Short term Borrowings,189,209,231,370
  └─ Lease Liabilities,1,1,2,4
  └─ Other Borrowings,0,-0,0,
Other Liabilities,9,10,14,24
  └─ Non controlling int,-0.10,-0.44,-2.02,-6.08
  └─ Trade Payables,3.99,3.37,3.76,6.21
  └─ Other liability items,4.83,7.54,11.81,23.85
Total Liabilities,365,453,652,862
Fixed Assets,38,63,147,210
  └─ Land,0.23,0.23,0.23,
  └─ Building,8.58,8.58,8.58,
  └─ Equipments,2.80,3.00,3.09,
  └─ Computers,2.42,3.05,4.12,
  └─ Furniture n fittings,0.72,0.75,0.76,
  └─ Vehicles,73.98,108.71,187.72,
  └─ Intangible Assets,0.04,0.00,0.00,0.00
  └─ Other fixed assets,1.85,1.34,3.57,
  └─ Gross Block,90.62,125.66,208.07,
  └─ Accumulated Depreciation,52.71,62.19,60.84,
CWIP,0,0,0,0
Investments,0,0,1,8
Other Assets,327,390,504,644
  └─ Trade receivables,242,295,375,495
  └─ Cash Equivalents,3,5,19,2
  └─ Loans n Advances,1,3,7,58
  └─ Other asset items,81,86,103,89
Total Assets,365,453,652,862
