Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,163,176,187,170,161,144,78,-54,-267,-457,-593,-721,-807
Borrowings,185,318,397,425,385,376,417,470,760,873,988,1116,1178
  └─ Long term Borrowings,21,152,191,174,136,99,130,172,684,783,922,1072,87
  └─ Short term Borrowings,157,153,180,207,195,224,210,289,76,90,66,43,1091
  └─ Lease Liabilities,0,0,0,0,0,0,12,9,0,0,0,0,0
  └─ Other Borrowings,7,13,27,44,54,53,66,0,0,0,0,0,
Other Liabilities,76,78,129,104,150,168,161,158,120,132,134,153,153
  └─ Non controlling int,0,9,9,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,47,41,79,86,107,107,121,100,85,94,96,97,104
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,0,2,
  └─ Other liability items,29,27,41,17,43,61,40,58,35,39,38,54,49
Total Liabilities,450,598,740,726,723,716,682,602,639,574,556,575,551
Fixed Assets,150,185,200,330,321,317,301,282,308,285,257,231,219
  └─ Land,27.80,42.45,45.98,45.53,45.70,45.72,45.92,44.04,45.59,45.79,46.07,45.07,
  └─ Building,48.50,52.83,53.82,73.29,78.70,79.62,80.53,74.07,65.60,66.54,68.44,68.88,
  └─ Plant Machinery,91.88,109.65,126.87,167.46,175.87,192.64,199.54,213.19,154.58,169.86,173.23,168.12,
  └─ Equipments,1.69,1.96,2.14,3.29,3.49,3.96,3.85,3.87,2.97,0.51,0.95,1.06,
  └─ Computers,6.47,7.00,10.53,3.97,4.36,4.92,5.73,5.93,3.69,4.00,4.19,4.04,
  └─ Furniture n fittings,6.80,8.06,8.60,23.82,24.06,25.27,25.68,25.67,21.30,21.37,21.47,21.73,
  └─ Vehicles,2.99,3.74,4.76,3.72,4.18,4.48,4.88,4.60,1.95,2.85,2.23,3.18,
  └─ Intangible Assets,28.79,37.16,42.16,16.68,17.66,17.89,19.03,19.51,60.39,60.39,60.39,60.39,49.75
  └─ Other fixed assets,15.50,18.06,20.55,20.61,29.22,38.98,46.62,53.67,38.11,39.38,39.93,40.76,
  └─ Gross Block,230.42,280.91,315.41,358.37,383.24,413.48,431.78,444.55,394.18,410.69,416.90,413.23,
  └─ Accumulated Depreciation,80.29,95.94,115.79,28.46,62.72,96.69,130.80,162.35,85.99,126.16,159.67,182.27,
CWIP,8,82,154,17,15,16,22,6,2,0,0,2,0
Investments,51,45,58,43,15,15,51,56,83,83,83,83,83
Other Assets,241,286,329,336,372,368,309,257,245,207,215,259,248
  └─ Inventories,119,131,145,138,163,186,180,134,110,124,127,136,139
  └─ Trade receivables,70,78,111,124,127,108,47,45,43,38,41,69,53
    └─ Receivables over 6m,9,7,5,0,0,0,0,0,5,5,4,4,
    └─ Receivables under 6m,61,71,107,124,129,110,48,47,41,37,41,68,
    └─ Prov for Doubtful,0,-0,-0,-0,-1,-1,-1,-2,-3,-3,-3,-3,
  └─ Cash Equivalents,6,11,5,9,6,12,12,15,22,17,14,20,19
  └─ Loans n Advances,11,20,27,11,14,10,14,9,17,5,2,2,1
  └─ Other asset items,36,46,41,55,63,51,55,54,54,22,30,31,36
Total Assets,450,598,740,726,723,716,682,602,639,574,556,575,551
