Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,18,18,19,19,19,19,19,19,19,41,41,41,
Reserves,438,612,738,774,854,763,866,998,1311,2569,3024,3390,
Borrowings,398,365,221,376,348,520,510,554,662,243,381,810,
  └─ Long term Borrowings,24,18,20,26,9,48,349,242,162,0,0,0,
  └─ Short term Borrowings,373,345,196,344,336,401,102,236,416,167,199,627,
  └─ Lease Liabilities,0,0,0,0,0,60,55,76,84,76,182,183,
  └─ Other Borrowings,1,2,5,6,3,11,3,0,0,0,0,,
Other Liabilities,1322,1530,1672,2068,2130,2137,2154,2741,3406,3758,4803,4335,
  └─ Non controlling int,0,1,1,2,2,2,3,3,3,3,3,2,
  └─ Trade Payables,885,1083,1176,1533,1535,1582,1605,2042,2511,2617,3428,2943,
  └─ Advance from Customers,208,223,266,299,301,265,242,343,454,469,595,,
  └─ Other liability items,229,222,230,235,293,287,305,354,438,670,777,1389,
Total Liabilities,2175,2525,2650,3236,3351,3439,3549,4313,5399,6611,8249,8576,
Fixed Assets,257,259,356,392,400,444,384,433,859,1165,1536,1768,
  └─ Land,9,9,23,29,19,19,19,19,20,29,29,,
  └─ Building,170,88,95,106,99,169,185,249,449,552,759,,
  └─ Plant Machinery,260,117,133,169,217,250,276,324,564,757,952,,
  └─ Equipments,13,3,4,5,7,8,8,9,14,21,23,,
  └─ Computers,21,11,14,17,24,29,31,31,32,43,36,,
  └─ Furniture n fittings,21,6,9,11,16,16,15,16,16,18,25,,
  └─ Vehicles,12,12,14,18,24,27,27,32,44,54,78,,
  └─ Intangible Assets,20,26,37,50,51,51,61,64,85,120,98,227,
  └─ Other fixed assets,43,23,111,124,151,165,107,111,124,143,166,,
  └─ Gross Block,569,295,438,529,608,734,728,856,1347,1738,2166,,
  └─ Accumulated Depreciation,313,35,82,137,208,291,344,423,488,573,631,,
CWIP,22,16,34,25,41,67,72,152,83,127,123,65,
Investments,36,242,11,13,15,17,295,162,148,267,432,457,
Other Assets,1860,2007,2250,2806,2895,2911,2799,3565,4309,5053,6158,6285,
  └─ Inventories,479,535,596,1017,869,870,882,1144,1433,1407,2149,2166,
  └─ Trade receivables,718,791,939,950,1112,838,811,1190,1549,1953,1959,2140,
    └─ Receivables over 6m,276,0,0,0,0,0,0,0,0,314,297,,317
    └─ Receivables under 6m,549,882,1095,1079,1215,938,915,1297,1677,1786,1832,,519
    └─ Prov for Doubtful,-108,-92,-156,-129,-103,-100,-104,-107,-128,-147,-170,,-65
  └─ Cash Equivalents,44,46,97,81,101,294,332,270,247,377,432,402,
  └─ Loans n Advances,16,48,70,98,76,87,75,83,125,137,192,127,
  └─ Other asset items,603,588,548,659,737,823,699,879,955,1179,1426,1450,
Total Assets,2175,2525,2650,3236,3351,3439,3549,4313,5399,6611,8249,8576,
