Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95
Reserves,119.61,121.43,122.48,119.71,117.47,116.02,115.37,114.82
Borrowings,19.09,22.56,11.36,8.29,9.61,15.07,11.72,7.95
  └─ Long term Borrowings,5.08,15.66,3.37,0.71,2.36,1.80,1.27,0.69
  └─ Short term Borrowings,12.09,4.89,5.87,7.58,7.25,13.27,10.44,7.26
  └─ Other Borrowings,1.92,2.01,2.12,0.00,0.00,0.00,0.01,
Other Liabilities,17.32,15.54,10.28,7.38,5.40,2.45,3.04,5.45
  └─ Non controlling int,0.15,0.48,-0.87,-3.14,-4.40,-5.26,-6.07,-5.69
  └─ Trade Payables,8.10,6.04,5.43,4.34,4.96,3.25,3.60,5.37
  └─ Advance from Customers,0.72,1.01,0.48,0.69,0.81,0.74,0.87,
  └─ Other liability items,8.35,8.01,5.24,5.49,4.03,3.72,4.64,5.77
Total Liabilities,164.97,168.48,153.07,144.33,141.43,142.49,139.08,137.17
Fixed Assets,42.38,37.91,33.53,30.25,30.30,27.58,25.27,21.91
  └─ Land,2.18,2.19,2.19,2.19,2.19,2.19,2.18,
  └─ Building,18.21,18.37,18.37,18.37,18.37,18.37,18.37,
  └─ Plant Machinery,53.24,53.29,53.29,53.59,56.59,51.04,51.26,
  └─ Equipments,2.86,2.73,2.79,2.80,2.81,2.81,2.85,
  └─ Computers,0.26,0.28,0.27,0.31,0.31,0.31,0.31,
  └─ Furniture n fittings,4.55,4.64,4.82,4.83,4.84,4.84,4.84,
  └─ Vehicles,2.17,1.95,1.96,2.98,2.92,3.12,3.12,
  └─ Wind turbines,20.92,20.92,20.92,20.92,20.92,20.92,20.92,
  └─ Other fixed assets,0.34,0.33,0.33,0.35,0.33,0.35,0.35,
  └─ Gross Block,104.73,104.70,104.94,106.34,109.28,103.95,104.20,
  └─ Accumulated Depreciation,62.35,66.80,71.42,76.09,78.98,76.37,78.93,
CWIP,0.87,5.94,3.16,2.93,2.82,2.82,2.82,2.78
Investments,2.24,10.82,9.10,3.52,0.52,0.20,0.13,4.09
Other Assets,119.48,113.81,107.28,107.63,107.79,111.89,110.86,108.39
  └─ Inventories,27.19,25.16,24.11,29.25,29.91,27.74,26.27,31.42
  └─ Trade receivables,26.73,21.20,19.26,13.94,13.48,14.81,10.92,14.27
    └─ Receivables over 6m,0.00,0.00,0.00,2.23,5.54,5.59,5.39,
    └─ Receivables under 6m,26.73,21.20,19.26,11.70,9.99,10.93,6.97,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,-2.06,-1.71,-1.45,
  └─ Cash Equivalents,1.71,7.98,10.29,2.55,4.57,0.97,0.43,1.46
  └─ Loans n Advances,10.49,19.77,7.49,7.28,8.83,11.91,11.67,38.79
  └─ Other asset items,53.36,39.70,46.13,54.61,51.00,56.46,61.57,22.45
Total Assets,164.97,168.48,153.07,144.33,141.43,142.49,139.08,137.17
