Metric,Jul 2007,Jul 2008,Jul 2009,Jul 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3.50,14.00,14.00,14.00,14.00,14.00,14.00,14.00,48.84,48.84
Reserves,44.79,27.54,7.73,5.86,5.75,5.68,5.70,6.40,96.80,64.43
Borrowings,1.73,0.68,1.39,1.99,0.48,0.34,0.00,1.08,1.37,3.18
  └─ Long term Borrowings,,,,,0.48,0.34,0.00,1.03,0.10,0.00
  └─ Short term Borrowings,,,,,0.00,0.00,0.00,0.00,1.00,3.00
  └─ Lease Liabilities,,,,,0.00,0.00,0.00,0.05,0.27,0.18
  └─ Other Borrowings,1.73,0.68,1.39,1.99,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,1.60,0.66,0.51,0.45,0.17,0.11,0.07,0.33,18.27,19.81
  └─ Trade Payables,0.26,0.30,0.02,0.00,0.04,0.07,0.04,0.19,11.81,12.05
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,
  └─ Other liability items,1.34,0.36,0.49,0.45,0.13,0.04,0.03,0.14,5.86,7.76
Total Liabilities,51.62,42.88,23.63,22.30,20.40,20.13,19.77,21.81,165.28,136.26
Fixed Assets,8.57,5.47,2.98,0.32,0.28,0.23,0.18,0.07,33.24,10.30
  └─ Land,2.40,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,
  └─ Equipments,1.58,1.81,1.81,0.10,0.10,0.10,0.10,0.07,0.07,
  └─ Computers,4.74,0.23,0.23,0.23,0.24,0.23,0.23,0.21,0.21,
  └─ Furniture n fittings,1.79,1.99,1.99,0.11,0.10,0.11,0.11,0.00,0.00,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.62,9.79
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.40,
  └─ Gross Block,10.51,6.43,4.03,0.44,0.44,0.44,0.44,0.39,33.65,
  └─ Accumulated Depreciation,1.94,0.96,1.05,0.12,0.16,0.21,0.26,0.32,0.41,
CWIP,10.50,12.78,2.94,6.90,0.00,0.00,0.00,0.00,0.00,0.00
Investments,10.02,6.39,4.37,6.65,1.31,2.88,2.89,0.00,81.54,0.00
Other Assets,22.53,18.24,13.34,8.43,18.81,17.02,16.70,21.74,50.50,125.96
  └─ Inventories,3,0,0,0,0,0,0,17,42,33
  └─ Trade receivables,13,15,9,1,0,0,0,0,0,0
  └─ Cash Equivalents,1,0,0,1,0,0,0,0,1,2
  └─ Loans n Advances,0,0,0,0,4,0,0,4,4,1
  └─ Other asset items,6,3,4,7,14,17,17,0,4,91
Total Assets,51.62,42.88,23.63,22.30,20.40,20.13,19.77,21.81,165.28,136.26
