Metric,Mar 2020,Mar 2021,Sep 2021
Equity Capital,3.78,3.78,3.78
Reserves,2.02,4.65,7.77
Borrowing,0.07,0.07,0.07
Other Liabilities,0.58,0.98,1.60
  └─ Other liability items,0.58,0.98,1.60
Total Liabilities,6.45,9.48,13.22
Fixed Assets,0.04,0.04,0.04
  └─ Land,0.04,0.04,
  └─ Equipments,0.01,0.01,
  └─ Furniture n fittings,0.01,0.01,
  └─ Other fixed assets,-0.01,-0.01,
  └─ Gross Block,0.05,0.05,
  └─ Accumulated Depreciation,0.01,0.01,
CWIP,0.00,0.00,0.00
Investments,6.35,9.37,13.11
Other Assets,0.06,0.07,0.07
  └─ Cash Equivalents,0.05,0.02,0.02
  └─ Loans n Advances,0.02,0.02,0.03
  └─ Other asset items,-0.01,0.03,0.02
Total Assets,6.45,9.48,13.22
